lga,2019,2020,change 2018-2019,change 2009-2019,Growth PA,no. of sales 2020
san remo,554500,670000,4.4,53,8,29
sanctuary lakes,620000,600000,3.1,36,-2,199
sandhurst,815000,785000,8.7,131,-3,53
sandringham,1650000,1770000,4.8,60,-11,60
sandy point,410000,517500,3.2,37,0,21
sassafras,805000,768000,6.5,88,7,4
scoresby,767000,790000,6.8,94,-8,31
sea lake,100000,117500,4.4,54,-9,17
seabrook,626500,655000,6,79,-7,40
seaford,655000,681500,6.3,85,-6,137
seaholme,1020000,1270000,4.4,54,0,14
seaspray,265000,443000,6.2,83,26,10
sebastopol,315000,350000,4,49,9,116
seddon,960000,1038000,6.4,86,-6,42
selby,601500,680000,4.6,56,-6,11
seville,620000,625500,6.3,85,-2,16
seville east,580000,724976.1290322581,6.2,83,5,3
seymour,300000,300000,5,63,2,69
shepparton,282000,283000,2.1,23,3,362
shepparton north,393000,453000,5.313392857142856,0,18,11
shoreham,1500000,1560000,8,117,29,0
silverleaves,618500,571000,4.7,59,-14,11
skenes creek,667500,855000,4,48,15,0
skipton,200000,212000,6.2,82,25,7
skye,600000,630000,6.2,82,-2,63
smiths beach,624500,560000,6.7,92,6,14
smythesdale,340000,121000,10.3,167,17,13
soldiers hill,480000,548000,7.8,111,7,50
somers,950000,835000,6.7,92,7,31
somerville,600000,603000,6.3,84,-2,98
sorrento,1465000,1360000,8,115,6,74
south dudley,339000,297500,4.9,61,26,0
south geelong,702500,687500,6.2,83,4,4
south kingsville,859000,990000,5.4,69,-14,15
south melbourne,1355000,1412500,4,48,-8,52
south morang,625500,655000,5.5,71,-1,148
south yarra,1767500,1817500,3.2,37,-4,56
spotswood,960000,1135000,6.6,89,-11,19
spring gully,386500,375000,2.7,30,-3,27
springvale,743000,800000,6.2,82,-5,47
springvale south,678000,712000,6.1,81,-6,37
st albans,590000,590000,6.6,90,-6,149
st albans park,422000,445000,4.6,57,-6,36
st andrews beach,930000,992500,5.9,78,3,11
st arnaud,175000,155000,3.4,40,21,31
st helena,905000,990000,6.3,85,-1,16
st kilda,1600000,1271500,6.8,94,-9,24
st kilda east,1560000,1709500,6.1,81,-4,26
st kilda west,2078500,724976.1290322581,4.3,53,7,11
st leonards,562500,501000,7,97,-2,74
stanhope,174000,180000,2.7,31,8,0
stawell,189000,220000,2.7,30,-1,100
stratford,316500,320000,3.2,38,23,43
strathdale,453500,543000,4.3,52,8,67
strathfieldsaye,476500,533500,4.6,56,7,56
strathmerton,195000,724976.1290322581,2.7,30,4,4
strathmore,1310000,995000,5.7,75,-3,47
strathmore heights,800000,650000,5.5,71,-10,0
strathtulloh,515000,449500,5.313392857142856,69.38959390862944,21,32
studfield,811000,870000,6.6,89,-10,6
sunbury,535000,555000,6.1,80,-2,357
sunderland bay,412000,511000,4.8,60,-9,10
sunnycliffs,239000,245000,1.7,18,10,0
sunset strip,460000,510500,6.3,84,18,13
sunshine,720000,830000,6.3,85,-2,46
sunshine north,630000,652500,5.8,75,-8,43
sunshine west,635000,648000,6.3,84,0,70
surf beach,510000,510000,5.9,77,6,17
surrey hills,1886500,1650000,6.4,86,-1,69
swan hill,285000,315000,1.9,21,7,112
sydenham,599500,600500,4.9,62,-3,41
syndal,1524500,2147500,7.2,101,0,34
tallangatta,251500,325000,3.3,39,3,11
tarneit,555000,549000,5.5,71,-2,354
tatura,276500,275000,3.6,42,11,62
tawonga,460000,370000,6.9,96,30,0
tawonga south,400000,377500,5,63,29,19
taylors hill,702500,680500,6.5,87,-3,65
taylors lakes,748500,742500,6,78,-2,43
tecoma,662500,727500,5.9,77,-5,15
templestowe,1276500,1553000,5.8,75,-2,73
templestowe lower,1080000,1215000,5.5,71,-6,87
terang,190000,203500,2.2,24,-2,30
the basin,695000,801000,6.5,88,2,32
the honeysuckles,336000,262500,8.1,118,16,10
the patch,755000,724976.1290322581,6.8,94,3,6
thomastown,592000,629000,5.3,67,-7,80
thomson (greater geelong),400500,425000,6.4,86,-3,19
thornbury,1135000,1158000,6.5,88,-1,83
thornhill park,535000,550000,5.313392857142856,69.38959390862944,1,28
timboon,260000,405000,2.5,28,5,12
tongala,234500,212500,4,48,-15,16
toongabbie,270000,225000,2,22,-4,8
toora,275000,222500,5.9,77,14,8
tooradin,700000,535000,8.3,121,0,14
toorak,4361000,4500000,4.9,61,-7,45
tootgarook,580000,550000,6.3,84,-3,59
torquay,820000,800000,5.6,73,1,189
trafalgar,397500,420000,6.3,84,6,53
traralgon,325000,311000,3.5,41,9,412
traralgon east,470000,474500,2.1,24,11,12
travancore,1125000,724976.1290322581,5.8,76,-24,4
trentham,614000,632500,10,159,2,27
truganina,575000,580000,5.9,77,0,238
tullamarine,612000,645500,4.9,61,-8,18
tyabb,580500,560000,7.1,99,6,16
tylden,492500,505000,8.6,129,-2,0
upper ferntree gully,642500,700000,6.3,84,-8,18
upwey,702500,792500,6.3,85,-1,49
ventnor,535000,560000,3.4,40,9,21
venus bay,330000,350000,3.3,39,8,87
vermont,937000,1038000,6.1,80,-4,60
vermont south,1166500,1220000,7.1,98,1,51
viewbank,920000,980000,5.8,75,-1,33
violet town,287500,279000,4.8,60,19,9
wahgunyah,355000,395000,6.5,87,48,10
walkerville,334500,285000,6.6,90,26,0
wallan,477500,485000,5.2,66,-3,90
wallan east,450000,445000,6.9,96,-8,47
wandana heights,766500,990000,5.2,67,10,17
wandin north,627500,695000,6.5,87,-6,11
wangaratta,319000,325000,3.4,40,0,266
wantirna,860000,921000,6.6,89,-6,59
wantirna south,988500,1085000,6.3,85,-1,81
warburton,515000,530000,7.1,99,4,17
warneet,512500,600000,6.4,86,-4,13
warracknabeal,118000,123000,2.7,31,5,32
warragul,460000,470000,6.4,86,2,257
warrandyte,987500,950000,5.6,72,-11,33
warranwood,935000,890000,5.4,69,-7,25
warrnambool,370000,391500,2.3,25,6,348
waterways,1270000,1475000,9,137,14,13
watsonia,736000,765000,5.5,71,-7,47
watsonia north,726500,770000,5.3,67,-6,21
wattle glen,778500,918000,5.6,73,-4,13
waurn ponds,641500,575000,5.5,71,3,32
wedderburn,138500,125000,7.1,98,7,11
weir views,462500,465000,5.313392857142856,69.38959390862944,-2,43
wendouree,335000,365000,5,63,3,136
wendouree west,257500,300000,4.6,58,5,17
werribee,510000,510000,6.8,94,0,354
werribee south,744500,590000,5.9,77,1,11
wesburn,530000,665000,6.7,91,14,0
west footscray,787500,852500,5.1,65,-10,77
west melbourne,1085000,1500000,3.6,42,-21,12
west wodonga,342500,394000,2.6,29,7,153
westall,730000,739000,5.8,76,-9,27
westgarth,1505000,1600000,7,97,-12,14
westmeadows,620000,534500,6,79,0,45
wheelers hill,1009000,1255000,5.1,64,-10,98
white hills,330000,315000,4.1,50,5,43
whittington,377500,409500,6.2,82,-4,28
whittlesea,577500,593500,5.8,75,0,43
willaura,110000,156500,1.1,11,-6,0
williams landing,660000,670000,6.4,86,-4,62
williamstown,1350000,1570000,5.4,69,-6,76
williamstown north,915000,955000,6.2,83,6,11
wimbledon heights,386500,405000,4,49,-6,15
winchelsea,430000,525500,7.6,109,10,21
windsor,1350000,1501000,5.6,73,-5,34
winter valley,435000,485000,3.6,42,7,38
wodonga,330500,356500,3.3,38,-6,273
wollert,577500,593500,3.7,43,1,262
wonga park,1111000,1001000,5.2,67,-3,13
wonthaggi,375000,370000,4.1,50,11,69
woodend,747500,620000,8.2,120,12,53
woolamai waters,495500,570000,5.9,77,5,43
woori yallock,510000,527500,6.3,83,-2,40
wy yung,349000,323000,2.6,30,11,21
wycheproof,141500,170000,2.1,23,13,12
wye river,1300000,1042500,7.4,105,49,0
wyndham vale,465000,468500,5.9,78,-3,173
yackandandah,497500,724976.1290322581,8.3,121,5,0
yallambie,792500,950000,6,79,-2,16
yallourn north,191000,142500,4.8,59,10,21
yarra glen,670000,815000,6.1,81,0,20
yarra junction,582500,528000,7.1,99,2,30
yarragon,410000,434000,7.6,109,5,19
yarram,240000,260000,2.9,33,10,37
yarraville,971000,950000,6,79,-7,106
yarrawonga,375000,398000,3.3,39,9,107
yea,435500,416500,7.4,104,11,21
yinnar,255000,237500,3.4,39,4,9
