lga,2019,2020,change 2018-2019,change 2009-2019,Growth PA,no. of sales 2020
carrum downs,537500,577500,6.1,80,-7,197
casterton,150000,169000,4,48,13,32
castlemaine,520000,579000,7.4,104,4,79
caulfield,1658000,2082500,5.8,75,-3,13
caulfield east,1372500,1748500,4.8,61,4,8
caulfield north,2100000,2205000,5.8,75,7,57
caulfield south,1488000,1720000,5.8,75,-7,53
chadstone,1000000,1229000,5.8,75,-5,27
charlemont,465000,540000,5.313392857142856,0,2,27
charlton,147000,215000,5.1,65,-2,19
chelsea,857500,880000,5.9,78,-5,43
chelsea heights,750000,825000,6.3,85,-4,30
cheltenham,1035500,1200000,5.7,74,-6,71
cheltenham east,940000,1020000,5.8,76,0,28
cheltenham north,858000,967500,4.5,56,-7,27
chewton,439500,576000,7.2,100,1,7
chiltern,223500,265000,-0.2,-2,-14,10
chirnside park,685000,752500,5.4,69,-2,108
chum creek,575000,567500,7.1,98,-5,0
churchill,185000,230000,2.1,24,3,72
clarinda,815000,835000,5.5,71,2,29
clayton,1100500,1121000,7,97,-12,24
clayton north,1405000,724976.1290322581,9.2,142,5,5
clayton south,832000,736500,6,80,-2,23
clifton hill,1352500,1432000,6.1,80,-1,31
clifton springs,485000,517000,5.7,74,3,118
clunes,330000,285000,7.2,101,-4,19
clyde,549000,569500,4.9,61,8,130
clyde north,584500,596500,5.313392857142856,69.38959390862944,-3,224
cobblebank,480500,465000,5.313392857142856,69.38959390862944,5,27
cobden,237000,267500,2.8,32,5,19
cobram,272500,304000,2,22,7,76
coburg,931000,1140000,5.7,74,-4,129
coburg east,823500,941000,5.8,76,-2,41
coburg north,812500,915000,6,79,0,38
cockatoo,580000,596000,7.2,100,-2,34
cohuna,205000,220500,2.4,27,15,42
colac,315000,339000,4.4,54,-2,117
coldstream,635000,656000,6.5,88,-4,18
coleraine,136000,110000,1.3,13,19,20
collingwood,1050000,1215000,5.6,72,-5,28
connewarre,1345000,1085000,6.9,95,12,0
coolaroo,441000,480000,5.2,66,-8,13
coonans hill,902500,1047500,4.8,59,-3,15
coongulla,335000,310000,9.1,139,38,3
corinella,357500,660000,2.6,29,-21,19
corio,354000,365000,6.1,80,-4,147
coronet bay,365000,375000,5.9,78,6,25
corryong,236000,200000,5.2,66,45,25
cowes,560000,525000,4.7,58,4,32
cowes west,508500,472500,6.2,83,5,110
craigieburn,530000,545000,4.9,62,-3,481
cranbourne,500000,516500,6,79,-7,174
cranbourne east,565000,560000,5.6,72,-2,155
cranbourne north,570000,570000,5.9,78,-5,168
cranbourne west,520000,532500,6.3,84,-4,212
cremorne,1267000,1665000,6.4,86,-11,12
creswick,345000,370000,5.8,76,5,51
crib point,527500,597500,6.6,89,-5,33
croydon,732500,762500,6.3,85,-7,158
croydon hills,835000,927500,5.8,76,-5,26
croydon north,825000,895000,5.8,75,-2,44
croydon south,716000,706000,6.3,83,-5,40
curlewis,560000,546000,5.313392857142856,69.38959390862944,13,45
dallas,451500,480000,4.5,56,-8,36
dalyston,373000,350000,6.4,87,22,13
dandenong,602000,630000,5.7,74,-6,101
dandenong north,605000,636000,5.9,78,-5,92
darley,520000,535000,7.3,103,3,75
dartmoor,157500,724976.1290322581,0.6,6,26,0
daylesford,590000,650000,7.4,103,7,55
deanside,689327.9301745635,724976.1290322581,5.313392857142856,69.38959390862944,0.5511221945137157,0
deepdene,2758000,724976.1290322581,4.4,54,2,9
deer park,550000,585000,6,80,-5,121
delacombe,390000,368000,4.1,50,8,64
delahey,530000,602000,5.5,71,-8,45
dennington,360000,427500,2.5,29,1,25
derrimut,649000,637500,5.9,77,6,33
derrinallum,221500,158500,4.5,55,81,0
diamond creek,751500,749500,5.5,70,-4,79
diggers rest,515000,500000,7.9,115,3,39
dimboola,120000,129000,2.9,33,-8,23
dingley village,810000,940000,5.6,73,-4,37
dinner plain,520000,452500,1.3,14,2,16
donald,135500,154500,3.9,46,-7,31
doncaster,1251500,1260000,6.1,82,-4,102
doncaster east,1190000,1317500,6.6,89,-3,158
donvale,1121000,1360000,6.4,87,-5,43
doreen,597500,606500,4.8,59,-1,245
doveton,470000,494000,5.8,75,-13,75
dromana,715500,680000,6.4,86,-9,76
drouin,440000,470000,6.1,81,-3,168
drysdale,572500,615000,6.5,87,12,37
dunkeld,225000,305000,0.7,7,-24,11
dunolly,234500,209000,5.9,77,14,9
eagle point,360000,425000,4.3,52,17,18
eaglehawk,321500,335000,4.1,50,2,72
eaglemont,1799000,1777500,2.1,24,-8,27
east bairnsdale,235000,335000,1.9,21,4,15
east bendigo,390000,387000,5.6,73,23,27
east geelong,625000,760000,6.5,87,-2,35
east melbourne,3413500,2350000,7.3,103,28,6
east warburton,446500,544500,6,79,4,5
eastwood,410000,395000,2.8,32,6,38
echuca,370000,382000,3.8,45,1,143
edenhope,173000,724976.1290322581,7.6,108,18,13
edithvale,954000,1125000,7,97,-9,44
eildon,251500,282500,3.6,43,-3,20
elliminyt,445000,380000,5.3,68,16,27
elmore,235000,235000,3.8,45,3,14
elsternwick,1750000,2001000,5.9,78,-10,25
eltham,925000,897500,5.9,77,-2,93
eltham north,930000,1006000,6.5,87,0,38
elwood,1952500,1750000,5.7,74,-9,61
emerald,660000,737500,5.9,77,-10,40
endeavour hills,620000,676000,5.7,74,-5,144
epping,550000,560000,4.8,60,-8,194
epsom,371500,410000,3.6,43,4,60
essendon,1447000,1175000,6.2,83,-13,91
essendon north,1100000,1327500,5.4,69,1,11
essendon west,1160000,995000,5.5,71,-5,12
eumemmerring,540000,556500,5.4,69,-13,13
eureka,360000,315000,4.1,49,14,6
euroa,309000,327500,5.9,77,14,31
eynesbury,558500,540000,0.6,6,2,29
fairfield,1290000,1390000,6.7,90,-2,23
fairhaven,1395000,1400000,6.8,92,37,8
fawkner,665000,708500,5.6,73,-8,81
ferntree gully,692000,742000,6.2,82,-6,157
ferny creek,733000,925000,4.4,54,-12,8
fingal,1240000,1415000,9.1,138,-8,16
fitzroy,1392500,1135500,6,79,-4,33
fitzroy north,1377500,1590000,6.4,86,-7,59
fiveways,485000,490000,4.2,52,-11,9
flemington,1000000,1107500,5.6,72,8,29
