Median House  Price - 2019,Column11,Column12,Column15,Column14,Column13
,2019,2020,Growth PA,change,change
locality,Median,Median,,2009-2019,2018-2019
CAPE PATERSON,540000,659000,5.6,73,22
CAPE SCHANCK,940000,1018500,6.1,81,11
CAPEL SOUND,515000,625000,5.3,67,-6
CARISBROOK,300000,257000,7.1,99,29
CARLTON,1306000,1500000,5,63,-18
CARLTON NORTH,1555000,1397500,7.1,98,8
CARNEGIE,1310000,1336000,5.2,66,-9
CAROLINE SPRINGS,620000,631500,5.4,70,0
CARRUM,770000,900000,5.9,77,-10
CARRUM DOWNS,537500,577500,6.1,80,-7
CASTERTON,150000,169000,4,48,13
CASTLEMAINE,520000,579000,7.4,104,4
CAULFIELD,1658000,2082500,5.8,75,-3
CAULFIELD EAST,1372500,1748500,4.8,61,4
CAULFIELD NORTH,2100000,2205000,5.8,75,7
CAULFIELD SOUTH,1488000,1720000,5.8,75,-7
CHADSTONE,1000000,1229000,5.8,75,-5
CHARLEMONT,465000,540000,NA,0,2
CHARLTON,147000,215000,5.1,65,-2
CHELSEA,857500,880000,5.9,78,-5
CHELSEA HEIGHTS,750000,825000,6.3,85,-4
CHELTENHAM,1035500,1200000,5.7,74,-6
CHELTENHAM EAST,940000,1020000,5.8,76,0
CHELTENHAM NORTH,858000,967500,4.5,56,-7
CHEWTON,439500,576000,7.2,100,1
CHILTERN,223500,265000,-0.2,-2,-14
CHIRNSIDE PARK,685000,752500,5.4,69,-2
CHUM CREEK,575000,567500,7.1,98,-5
CHURCHILL,185000,230000,2.1,24,3
CLARINDA,815000,835000,5.5,71,2
CLAYTON,1100500,1121000,7,97,-12
CLAYTON NORTH,1405000,NA,9.2,142,5
CLAYTON SOUTH,832000,736500,6,80,-2
CLIFTON HILL,1352500,1432000,6.1,80,-1
CLIFTON SPRINGS,485000,517000,5.7,74,3
CLUNES,330000,285000,7.2,101,-4
CLYDE,549000,569500,4.9,61,8
CLYDE NORTH,584500,596500,NA,NA,-3
