Median House Prices 3rd Quarter 2020,Column7
SUBURB,No of Sales 
,YTD
GREENSBOROUGH,114
GREENVALE,133
GROVEDALE,158
HADFIELD,42
HALLAM,52
HALLS GAP,15
HAMILTON,171
HAMLYN HEIGHTS,90
HAMPTON,76
HAMPTON EAST,42
HAMPTON PARK,165
HARCOURT,10
HARKNESS,134
HASTINGS,83
HASTINGS WEST,27
HAWTHORN,83
HAWTHORN EAST,44
HEALESVILLE,50
HEATHCOTE,23
HEATHERTON,21
HEATHMONT,46
HEIDELBERG,27
HEIDELBERG HEIGHTS,32
HEIDELBERG WEST,28
HEPBURN,10
HEPBURN SPRINGS,16
HERNE HILL,37
HEYFIELD,34
HEYWOOD,21
HIGHETT,70
HIGHTON,199
HILLSIDE (MELTON),90
HOPETOUN,18
HOPPERS CROSSING,248
HORSHAM,243
HUGHESDALE,15
HUNTINGDALE,8
HUNTLY,36
HURSTBRIDGE,12
INDENTED HEAD,21
INGLEWOOD,16
INVERLOCH,132
INVERMAY PARK,27
IRONBARK,17
IRYMPLE,52
IVANHOE,42
IVANHOE EAST,15
JACANA,8
JACKASS FLAT,20
JAN JUC,36
JEERALANG NORTH,15
JEPARIT,11
JUNCTION VILLAGE,5
JUNORTOUN,12
KALIMNA,20
KALKALLO,47
KALLISTA,7
KALORAMA,9
KANGAROO FLAT,148
KANGAROO GROUND SOUTH,11
KANIVA,13
KEALBA,22
KEILOR,27
KEILOR DOWNS,38
KEILOR EAST,105
KEILOR PARK,19
KENNINGTON,60
KENSINGTON,55
KERANG,46
KEW,112
KEW EAST,7
KEW NORTH,30
KEYSBOROUGH,165
KIALLA,82
KILCUNDA,8
KILLARA (WODONGA),34
KILMORE,93
KILSYTH,102
KILSYTH SOUTH,12
KINGLAKE,13
KINGS PARK,45
KINGSBURY,15
KINGSVILLE,21
KNOXFIELD,41
KOO WEE RUP,32
KOONDROOK,14
KOROIT,25
KORUMBURRA,58
KURUNJANG,95
KYABRAM,79
KYNETON,74
LAKE BOGA,11
LAKE GARDENS,18
LAKE TYERS BEACH,17
LAKE WENDOUREE,29
LAKES ENTRANCE,96
LALOR,118
LANCEFIELD,15
LANG LANG,20
LANGWARRIN,178
LARA,53
LARA LAKE,108
LAUNCHING PLACE,18
LAVERTON,49
LAVERTON SOUTH,40
LEITCHVILLE,10
LENEVA,12
LEONGATHA,71
LEOPOLD,177
