lga_code,lga_name,dentists_2018_population_erp,dentists_2018_rate_per_100000_people,total_registered_nurses_2018_population_erp,total_registered_nurses_2018_rate_per_100000_people,total_medical_practitioners_2018_population_erp,total_medical_practitioners_2018_rate_per_100000_people
20110,Alpine (S),null,null,12730.0,1131.1861743912,12730.0,157.109190887667
20260,Ararat (RC),11795.0,50.8690122933446,11795.0,1475.20135650699,11795.0,127.172530733362
20570,Ballarat (C),107325.0,65.2224551595621,107325.0,1919.40368040997,107325.0,477.055672024226
20660,Banyule (C),130237.0,85.9970668857544,130237.0,3363.8674109508,130237.0,1076.4989979806
20740,Bass Coast (S),35327.0,39.6297449542843,35327.0,832.224644039969,35327.0,203.810116907748
20830,Baw Baw (S),52015.0,42.2954916850908,52015.0,982.408920503701,52015.0,259.540517158512
20910,Bayside (C),105718.0,82.2944058722261,105718.0,886.320210370987,105718.0,328.231710777729
21010,Benalla (RC),null,null,14024.0,969.766115231033,14024.0,199.657729606389
21110,Boroondara (C),181289.0,119.698382141222,181289.0,848.920783941662,181289.0,366.266017243186
21180,Brimbank (C),208714.0,34.9760916852727,208714.0,905.545387468018,208714.0,295.619843422099
21270,Buloke (S),null,null,6184.0,1423.02716688228,6184.0,113.195342820181
21370,Campaspe (S),37592.0,29.2615450095765,37592.0,1268.88699723345,37592.0,215.4713768887
21450,Cardinia (S),107120.0,28.0059746079164,107120.0,182.972367438387,107120.0,112.957430918596
21610,Casey (C),340419.0,37.8944771002794,340419.0,455.321236476225,340419.0,178.015915680382
21670,Central Goldfields (S),13209.0,60.5647664471194,13209.0,1135.58937088349,13209.0,105.988341282459
21750,Colac-Otway (S),21503.0,37.2041110542715,21503.0,1116.12333162814,21503.0,199.972096916709
21830,Corangamite (S),null,null,16140.0,960.346964064436,16140.0,136.307311028501
21890,Darebin (C),161609.0,42.0768645310595,161609.0,265.45551299742,161609.0,114.473822621265
22110,East Gippsland (S),46818.0,36.3108206245461,46818.0,935.537613738306,46818.0,211.457131872357
22170,Frankston (C),141845.0,46.5296626599457,141845.0,1745.56734463675,141845.0,515.351263703338
22250,Gannawarra (S),null,null,10547.0,967.099649189343,10547.0,94.8136910969944
22310,Glen Eira (C),153858.0,67.5947952007695,153858.0,835.185690701816,153858.0,279.478480157028
22410,Glenelg (S),19665.0,30.511060259344,19665.0,1174.67581998474,19665.0,203.407068395627
22490,Golden Plains (S),null,null,23120.0,164.359861591696,23120.0,73.5294117647059
22620,Greater Bendigo (C),116045.0,53.4275496574605,116045.0,1718.29893575768,116045.0,411.047438493688
22670,Greater Dandenong (C),166094.0,59.6048021000157,166094.0,1212.56637807507,166094.0,367.261911929389
22750,Greater Geelong (C),252217.0,52.7323693486165,252217.0,1535.58245479091,252217.0,455.163609114374
22830,Greater Shepparton (C),66007.0,53.0246792006908,66007.0,1443.7862650931,66007.0,446.922296120109
22910,Hepburn (S),null,null,15812.0,771.565899316974,15812.0,183.405008854035
22980,Hindmarsh (S),null,null,5645.0,1381.75376439327,5645.0,88.5739592559787
23110,Hobsons Bay (C),96470.0,42.5002591479216,96470.0,419.819633046543,96470.0,164.818078159013
23190,Horsham (RC),19875.0,45.2830188679245,19875.0,1811.32075471698,19875.0,246.540880503145
23270,Hume (C),224394.0,35.2059324224355,224394.0,291.005998377853,224394.0,131.910835405581
23350,Indigo (S),null,null,16490.0,600.363856882959,16490.0,109.157064887811
23430,Kingston (C) (Vic.),163431.0,58.1285068316292,163431.0,564.152455776444,163431.0,172.549883437047
23670,Knox (C),163203.0,64.337052627709,163203.0,930.129960846308,163203.0,265.313750359981
23810,Latrobe (C) (Vic.),75211.0,43.8765606094853,75211.0,1429.31220167263,75211.0,348.353299384399
23940,Loddon (S),null,null,7513.0,692.13363503261,7513.0,53.2410488486623
24130,Macedon Ranges (S),49388.0,32.3965335709079,49388.0,453.551469992711,49388.0,214.627034907265
24210,Manningham (C),125508.0,70.9118143863339,125508.0,364.916977403831,125508.0,167.320011473372
24250,Mansfield (S),8979.0,44.5483906893863,8979.0,890.967813787727,8979.0,200.467758102239
24330,Maribyrnong (C),91387.0,76.5973278475057,91387.0,1421.42755534157,91387.0,561.348988368149
24410,Maroondah (C),117498.0,56.1711688709595,117498.0,1091.9334797188,117498.0,299.579567311784
24600,Melbourne (C),169961.0,274.768917575208,169961.0,5683.65683892187,169961.0,2479.98070145504
24650,Melton (C),156713.0,29.9911302827462,156713.0,270.558281699668,156713.0,107.840447186896
24780,Mildura (RC),55515.0,43.2315590380978,55515.0,1194.27181842745,55515.0,302.620913266685
24850,Mitchell (S),44299.0,36.1181967990248,44299.0,553.059888485067,44299.0,162.531885595612
24900,Moira (S),29799.0,30.2023557837511,29799.0,768.482163831001,29799.0,137.588509681533
24970,Monash (C),200077.0,78.9695967052685,200077.0,1877.27724825942,200077.0,734.217326329363
25060,Moonee Valley (C),127883.0,74.2866526434319,127883.0,301.838399161734,127883.0,198.619050225597
25150,Moorabool (S),34158.0,17.5654312313367,34158.0,550.383511915218,34158.0,155.161309210141
25250,Moreland (C),181725.0,42.3717155041959,181725.0,483.697895171275,181725.0,177.190810290274
25340,Mornington Peninsula (S),165822.0,54.2750660346637,165822.0,645.270229523224,165822.0,208.054419799544
25430,Mount Alexander (S),19514.0,30.7471558880804,19514.0,1117.14666393359,19514.0,215.230091216562
25490,Moyne (S),null,null,16887.0,390.83318529046,16887.0,65.1388642150767
25620,Murrindindi (S),null,null,14478.0,518.027351844177,14478.0,89.7914076529907
