ranking,School,Location,median VCE Score,VCE 40+ %
482,Somerville Secondary College,Somerville,24,2.5
,,,,
483,Mill Park Secondary College,Epping,24,2.4
,,,,
484,Gisborne Secondary College,Gisborne,24,1.8
,,,,
485,Charles La Trobe P-12 College,Macleod West,24,1.7
,,,,
486,Manor Lakes P-12 College,Wyndham Vale,24,1.5
,,,,
487,Colac Secondary College,Colac,24,1.3
,,,,
488,St Thomas Aquinas College,Tynong,24,1.3
,,,,
489,Western Heights College,Hamlyn Heights,24,1.2
,,,,
490,Swinburne University of Technology TAFE Croydon,Croydon,24,1.1
,,,,
491,Glenroy Secondary College,Glenroy,24,0.9
,,,,
492,Dandenong High School Dandenong,Dandenong,24,0.8
,,,,
493,Tarneit Senior College,Tarneit,24,0.5
,,,,
494,Ararat College,Ararat,24,0
,,,,
495,Benalla P-12 College,Benalla,24,0
,,,,
496,Boronia K-12 College,Boronia,24,0
,,,,
497,Good News Lutheran College,Tarneit,24,0
,,,,
498,Lara Secondary College,Lara,24,0
,,,,
499,Bayswater Secondary College,Bayswater,23,1.8
,,,,
500,Craigieburn Secondary College,Craigieburn,23,1.5
,,,,
501,Laverton P-12 College,Laverton,23,1.2
,,,,
502,East Preston Islamic College,Preston East,23,0.9
,,,,
503,John Fawkner College,Fawkner,23,0.9
,,,,
504,Australian International Academy Coburg,Coburg,23,0.8
,,,,
505,Wodonga Senior Secondary College,Wodonga,23,0.7
,,,,
506,Bairnsdale Secondary College,Bairnsdale,23,0.5
,,,,
507,Cobden Technical School,Cobden,23,0
,,,,
508,Federation Training Newborough,Newborough,23,0
,,,,
509,Holmes Secondary College,Melbourne,23,0
,,,,
510,McGuire College,Shepparton,23,0
,,,,
511,Newcomb Secondary College,Newcomb,23,0
,,,,
512,Shepparton High School,Shepparton,23,0
,,,,
513,Stawell Secondary College,Stawell,23,0
,,,,
514,Western Port Secondary College,Hastings,23,0
,,,,
515,Yarram Secondary College,Yarram,23,0
,,,,
516,Ozford College,Melbourne,22,1.4
,,,,
517,Stotts Colleges Melbourne,Melbourne,22,1.1
,,,,
518,Baimbridge College,Hamilton,22,0.5
,,,,
519,Hallam Senior Secondary College,Hallam,22,0.3
,,,,
520,Bundoora Secondary College,Bundoora,22,0
,,,,
521,Mooroopna Secondary College,Mooroopna,22,0
,,,,
522,Nathalia Secondary College,Nathalia,22,0
,,,,
523,Numurkah Secondary College,Numurkah,22,0
,,,,
524,Red Cliffs Secondary College,Red Cliffs,22,0
,,,,
525,Rushworth P-12 College,Rushworth,22,0
,,,,
526,Swifts Creek P-12 School,Swifts Creek,22,0
,,,,
527,Wallan Secondary College,Wallan,22,0
,,,,
528,Gordon Institute of TAFE,Geelong,21,5.6
,,,,
529,Northern Bay P-12 College,Corio,21,0.6
,,,,
530,Chisholm Institute of TAFE Dandenong,Dandenong,21,0
,,,,
531,Victoria University Polytechnic,Footscray,21,0
,,,,
532,Alia College,Hawthorn East,20,0
,,,,
533,Sydney Road Community School,Brunswick,20,0
,,,,
534,Hopetoun P-12 College,Hopetoun,18,0
,,,,
535,Kangan Institute of TAFE,Broadmeadows,17,0
,,,,
536,North Melbourne Grammar College,North Melbourne,15,0
,,,,
537,Adass Israel School Elsternwick,Elsternwick,0,0
,,,,
538,Advance Community College,Rosebud West,0,0
,,,,
539,Albury Wodonga Community College,Wodonga,0,0
,,,,
540,Balmoral Community College,Balmoral,0,0
,,,,
541,Bendigo TAFE,Bendigo,0,0
,,,,
542,Berry Street Victoria,Richmond,0,0
,,,,
543,Box Hill Institute,Box Hill,0,0
,,,,
544,Catholic Regional College Caroline Springs,Caroline Springs,0,0
,,,,
545,Chaffey Secondary College,Mildura,0,0
,,,,
546,Charles La Trobe P-12 College The Pavillion,Preston,0,0
,,,,
547,Cire Community School,Yarra Junction,0,0
,,,,
548,Croydon Community School,Croydon,0,0
,,,,
549,David Scott School Frankston,Frankston,0,0
,,,,
550,Diamond Valley Learning Centre,Greensborough,0,0
,,,,
551,Diversitat,Geelong,0,0
,,,,
552,Djerriwarrh Community and Education Service,Melton,0,0
,,,,
553,Education Centre Gippsland,Warragul,0,0
,,,,
554,Federation University Australia,Ballarat,0,0
,,,,
555,Foundation Learning Centre,Narre Warren,0,0
,,,,
556,Glenroy Neighbourhood Centre,Glenroy,0,0
,,,,
557,Goulburn Ovens Institute of TAFE,Shepparton,0,0
,,,,
558,Hester Hornbrook Academy,South Melbourne,0,0
,,,,
559,Holmesglen Institute of TAFE Holmesglen,Holmesglen,0,0
,,,,
560,Holmesglen Institute of TAFE Moorabbin,Moorabbin,0,0
,,,,
561,Kensington Community High School,Kensington,0,0
,,,,
562,Lake Bolac College,Lake Bolac,0,0
,,,,
563,Little Yarra Steiner School,Yarra Junction,0,0
,,,,
564,Lynall Hall Community School,Richmond,0,0
,,,,
565,Melbourne City Mission,South Melbourne,0,0
,,,,
566,Melbourne Polytechnic,Preston,0,0
,,,,
567,Merinda Park Learning Centre,Cranbourne,0,0
,,,,
568,Mountain District Learning Centre,Ferntree Gully,0,0
,,,,
569,Oakwood School,Caulfield North,0,0
,,,,
570,Parkville College,Parkville,0,0
,,,,
571,Peter Lalor Secondary College,Lalor,0,0
,,,,
572,Pines Learning,Doncaster East,0,0
,,,,
573,Preston Reservoir Adult Community Education,Reservoir,0,0
,,,,
574,River Nile School,North Melbourne,0,0
,,,,
575,SEDA College,Hawthorn East,0,0
,,,,
576,Shepparton Adult and Community Education,Shepparton,0,0
,,,,
577,Skillsplus,Frankston,0,0
,,,,
578,South West Institute of TAFE,Warrnambool,0,0
,,,,
579,Southern Grampians Adult Edu,Hamilton,0,0
,,,,
580,Sunraysia Institute of TAFE,Mildura,0,0
,,,,
581,The Centre,Wangaratta,0,0
,,,,
582,Western Senior Secondary College,West Melbourne,0,0
,,,,
583,William Angliss Institute of TAFE,Melbourne,0,0
,,,,
584,Wodonga Institute of TAFE,Wodonga,0,0
,,,,
585,Wyndham Community and Education Centre,Werribee,0,0
,,,,
586,Yuille Park Community College,Delacombe,0,0
,,,,
587,Armenian Aginian School Surrey Hills,Surrey Hills,,
,,,,
588,Austurk After Hours Ethnic School,Dallas,,
,,,,
589,Bharathi Academy Dandenong,Dandenong,,
,,,,
590,Cheryl Kaloger Brown School of Dance,Hawthorn East,,
,,,,
591,Chinese Culture and Arts School of Melbourne,Collingwood,,
,,,,
592,Chinese Culture School,Mont Albert,,
,,,,
593,Chinese Culture School Melbourne High Campus,South Yarra,,
,,,,
594,Chinese Culture School Northcote Campus,Northcote,,
,,,,
595,Eastern Chinese Language School,Doncaster East,,
,,,,
596,Firbank Grammar School Harbin American-Canadian Foreign Language School,Heilongjiang China,,
,,,,
597,Firbank Grammar School Jiangyan No 2 High School,Taizhou China,,
,,,,
598,Firbank Grammar School Lianyungang Foreign Language School,Lianyungang China,,
,,,,
599,Firbank Grammar School Shanghai Tianhua College High School,Shanghai China,,
,,,,
600,Firbank Grammar School Suzhou International Foreign Language School,Suzhou China,,
,,,,
601,Great Future Chinese Culture School Inc,Preston,,
,,,,
602,Greek Orthodox Community of Melbourne and Victoria,Melbourne,,
,,,,
603,Greek Orthodox Community of Mentone and Districts,Parkdale,,
,,,,
604,Haileybury Chengdu Shude High School,Chengdu China,,
,,,,
605,Haileybury College Tianjin Campus,Tianjin China,,
,,,,
606,Haileybury Ningbo Li Hui Li High School,Ningbo China,,
,,,,
607,Haileybury Qingdao No 19 High School,Qingdao China,,
,,,,
608,Haileybury Wuhan Foreign Language School,Wuhan China,,
,,,,
609,Iranian Cultural School,Doncaster,,
,,,,
610,Islamic Community Milli Gorus Australia Foundation,Broadmeadows,,
,,,,
611,Karen Brigetta Crump School of Dance,Drouin,,
,,,,
612,Korean Language School of Melbourne,Prahran,,
,,,,
613,Kurnai College University Campus,Churchill,,
,,,,
614,Lac Hong Vietnamese School Footscray,Footscray,,
,,,,
615,Lac Hong Vietnamese School St Albans,St Albans,,
,,,,
616,Melbourne International School of Japanese,Oakleigh South,,
,,,,
617,Melbourne Swedish Community School Association,Toorak,,
,,,,
618,New Century Chinese Language School,Burwood East,,
,,,,
619,New Chinese Language and Culture School Thornbury,Thornbury,,
,,,,
620,No 1 Senior Middle School of No 1 Machinery Group,Baotou Inner Mongolia,,
,,,,
621,Peninsula Grammar Heze No 1 Middle School,Shandong China,,
,,,,
622,Peninsula Grammar Nanjing Experimental School,Nanjing China,,
,,,,
623,Peninsula Grammar Pudong Foreign Language School,Shanghai China,,
,,,,
624,Peninsula Grammar Zhengzhou Foreign Language School,Zhengzhou China,,
,,,,
625,Protypo Greek School Oakleigh,Oakleigh,,
