School_Name,School_Type,LGA_Name
Irymple South Primary School,Primary,Mildura (RC)
Glen Huntly Primary School,Primary,Glen Eira (C)
Nanneella Estate Primary School,Primary,Campaspe (S)
Wantirna Primary School,Primary,Knox (C)
Wonthaggi North Primary School,Primary,Bass Coast (S)
Melton South Primary School,Primary,Melton (C)
Chelsea Primary School,Primary,Kingston (C)
Nowa Nowa Primary School,Primary,East Gippsland (S)
Hampton Primary School,Primary,Bayside (C)
Victorian College For The Deaf,Special,Melbourne (C)
Balliang East Primary School,Primary,Moorabool (S)
Edithvale Primary School,Primary,Kingston (C)
Orrvale Primary School,Primary,Greater Shepparton (C)
Penders Grove Primary School,Primary,Darebin (C)
Underbool Primary School,Primary,Mildura (RC)
Caulfield Junior College,Primary,Glen Eira (C)
Seaford Primary School,Primary,Frankston (C)
Wattle Park Primary School,Primary,Whitehorse (C)
Murrabit Group School,Primary,Gannawarra (S)
Preston West Primary School,Primary,Darebin (C)
Thornbury Primary School,Primary,Darebin (C)
Footscray West Primary School,Primary,Maribyrnong (C)
Wandin North Primary School,Primary,Yarra Ranges (S)
Gardenvale Primary School,Primary,Bayside (C)
Beaumaris Primary School,Primary,Bayside (C)
Currawa Primary School,Primary,Greater Shepparton (C)
Cann River P-12 College,Pri/Sec,East Gippsland (S)
Altona Primary School,Primary,Hobsons Bay (C)
Devon Meadows Primary School,Primary,Casey (C)
Upper Ferntree Gully Primary School,Primary,Knox (C)
Eildon Primary School,Primary,Murrindindi (S)
Bittern Primary School,Primary,Mornington Peninsula (S)
Colbinabbin Primary School,Primary,Campaspe (S)
Stanhope Primary School,Primary,Campaspe (S)
Hurstbridge Primary School,Primary,Nillumbik (S)
Coburg West Primary School,Primary,Moreland (C)
Elwood Primary School,Primary,Port Phillip (C)
Mont Albert Primary School,Primary,Whitehorse (C)
Dhurringile Primary School,Primary,Greater Shepparton (C)
Strathewen Primary School,Primary,Nillumbik (S)
Don Valley Primary School,Primary,Yarra Ranges (S)
Reservoir Primary School,Primary,Darebin (C)
Yallourn North Primary School,Primary,Latrobe (C)
Toorloo Arm Primary School,Primary,East Gippsland (S)
Girgarre Primary School,Primary,Campaspe (S)
Yaapeet Primary School,Primary,Yarriambiack (S)
Gladysdale Primary School,Primary,Yarra Ranges (S)
Mildura West Primary School,Primary,Mildura (RC)
Moonee Ponds Primary School,Primary,Moonee Valley (C)
Kingsville Primary School,Primary,Maribyrnong (C)
Kallista Primary School,Primary,Yarra Ranges (S)
Essendon North Primary School,Primary,Moonee Valley (C)
Ascot Vale West Primary School,Primary,Moonee Valley (C)
Hartwell Primary School,Primary,Boroondara (C)
Red Cliffs Primary School,Primary,Mildura (RC)
Wattle Glen Primary School,Primary,Nillumbik (S)
Hampton Park Primary School,Primary,Casey (C)
Colac West Primary School,Primary,Colac-Otway (S)
Ripponlea Primary School,Primary,Glen Eira (C)
Noojee Primary School,Primary,Baw Baw (S)
Montmorency Primary School,Primary,Banyule (C)
Moriac Primary School,Primary,Surf Coast (S)
Ringwood North Primary School,Primary,Maroondah (C)
Red Cliffs East Primary School,Primary,Mildura (RC)
Lloyd Street Primary School,Primary,Stonnington (C)
Bayswater North Primary School,Primary,Maroondah (C)
Westbreen Primary School,Primary,Moreland (C)
Point Cook Prep - Year 9 College,Pri/Sec,Wyndham (C)
Footscray North Primary School,Primary,Maribyrnong (C)
Airly Primary School,Primary,Wellington (S)
Camberwell South Primary School,Primary,Boroondara (C)
Parkdale Primary School,Primary,Kingston (C)
Hughesdale Primary School,Primary,Monash (C)
Westgarth Primary School,Primary,Darebin (C)
Auburn South Primary School,Primary,Boroondara (C)
Aspendale Primary School,Primary,Kingston (C)
Eltham North Primary School,Primary,Nillumbik (S)
Merrivale Primary School,Primary,Warrnambool (C)
Dandenong West Primary School,Primary,Greater Dandenong (C)
Yarra Road Primary School,Primary,Maroondah (C)
Aberfeldie Primary School,Primary,Moonee Valley (C)
Manifold Heights Primary School,Primary,Greater Geelong (C)
Nungurner Primary School,Primary,East Gippsland (S)
Dingley Primary School,Primary,Kingston (C)
Cardross Primary School,Primary,Mildura (RC)
Albion Primary School,Primary,Brimbank (C)
Lemnos Primary School,Primary,Greater Shepparton (C)
Tarwin Lower Primary School,Primary,South Gippsland (S)
Nepean Special School,Special,Frankston (C)
Brunswick South West Primary School,Primary,Moreland (C)
Bell Primary School,Primary,Darebin (C)
Chatham Primary School,Primary,Boroondara (C)
Caulfield South Primary School,Primary,Glen Eira (C)
Ashburton Primary School,Primary,Boroondara (C)
Bentleigh West Primary School,Primary,Glen Eira (C)
Seaspray Primary School,Primary,Wellington (S)
Anglesea Primary School,Primary,Surf Coast (S)
Briar Hill Primary School,Primary,Banyule (C)
Zeerust Primary School,Primary,Greater Shepparton (C)
McKinnon Primary School,Primary,Glen Eira (C)
Clayton South Primary School,Primary,Kingston (C)
Ivanhoe East Primary School,Primary,Banyule (C)
Cobains Primary School,Primary,Wellington (S)
Mildura South Primary School,Primary,Mildura (RC)
Tate Street Primary School Geelong,Primary,Greater Geelong (C)
Brunswick North West Primary School,Primary,Moreland (C)
Katandra West Primary School,Primary,Greater Shepparton (C)
Fleetwood Primary School,Primary,Casey (C)
Sandringham East Primary School,Primary,Bayside (C)
Seaholme Primary School,Primary,Hobsons Bay (C)
Somers Primary School,Primary,Mornington Peninsula (S)
Travancore School,Special,Moonee Valley (C)
Upwey Primary School,Primary,Yarra Ranges (S)
Coburg North Primary School,Primary,Moreland (C)
Rosanna Primary School,Primary,Banyule (C)
Wantirna South Primary School,Primary,Knox (C)
Strathmore Primary School,Primary,Moonee Valley (C)
Balwyn North Primary School,Primary,Boroondara (C)
Solway Primary School,Primary,Boroondara (C)
Wangaratta West Primary School,Primary,Wangaratta (RC)
Mount Beauty Primary School,Primary,Alpine (S)
Newlands Primary School,Primary,Darebin (C)
Somers School Camp,Primary,Mornington Peninsula (S)
Newborough Primary School,Primary,Latrobe (C)
Traralgon (Stockdale Road) Primary School,Primary,Latrobe (C)
Gowrie Street Primary School Shepparton,Primary,Greater Shepparton (C)
Tootgarook Primary School,Primary,Mornington Peninsula (S)
Moe (South Street) Primary School,Primary,Latrobe (C)
Roslyn Primary School,Primary,Greater Geelong (C)
Newport Gardens Primary School,Primary,Hobsons Bay (C)
St Georges Road Primary School Shepparton,Primary,Greater Shepparton (C)
Malvern Valley Primary School,Primary,Stonnington (C)
Newborough East Primary School,Primary,Latrobe (C)
Belmore School,Special,Boroondara (C)
Croxton Special School,Special,Darebin (C)
Herne Hill Primary School,Primary,Greater Geelong (C)
Frankston East Primary School,Primary,Frankston (C)
Selby Primary School,Primary,Yarra Ranges (S)
Reservoir East Primary School,Primary,Darebin (C)
Tucker Road Bentleigh Primary School,Primary,Glen Eira (C)
Katunga Primary School,Primary,Moira (S)
Ballarat North Primary School,Primary,Ballarat (C)
Bandiana Primary School,Primary,Wodonga (C)
Greythorn Primary School,Primary,Boroondara (C)
Warragul North Primary School,Primary,Baw Baw (S)
Horsham West and Haven Primary School,Primary,Horsham (RC)
Traralgon (Kosciuszko Street) Primary School,Primary,Latrobe (C)
Traralgon (Liddiard Road) Primary School,Primary,Latrobe (C)
Eastwood Primary School,Primary,Maroondah (C)
Pascoe Vale South Primary School,Primary,Moreland (C)
Lalor Primary School,Primary,Whittlesea (C)
Reservoir West Primary School,Primary,Darebin (C)
Coatesville Primary School,Primary,Glen Eira (C)
Old Orchard Primary School,Primary,Whitehorse (C)
Huntingdale Primary School,Primary,Monash (C)
Box Hill North Primary School,Primary,Whitehorse (C)
Ferntree Gully North Primary School,Primary,Knox (C)
Ararat West Primary School,Primary,Ararat (RC)
Oak Park Primary School,Primary,Moreland (C)
Dandenong North Primary School,Primary,Greater Dandenong (C)
Bairnsdale West Primary School,Primary,East Gippsland (S)
Kalianna Special School,Special,Greater Bendigo (C)
Harrisfield Primary School,Primary,Greater Dandenong (C)
Pascoe Vale North Primary School,Primary,Moreland (C)
Belle Vue Primary School,Primary,Boroondara (C)
Oberon Primary School,Primary,Greater Geelong (C)
Moe Primary School,Primary,Latrobe (C)
St Albans East Primary School,Primary,Brimbank (C)
Bourchier Street Primary School Shepparton,Primary,Greater Shepparton (C)
Swan Hill North Primary School,Primary,Swan Hill (RC)
Sunshine Heights Primary School,Primary,Brimbank (C)
Sunshine North Primary School,Primary,Brimbank (C)
Banyule Primary School,Primary,Banyule (C)
Portland South Primary School,Primary,Glenelg (S)
Rosanna Golf Links Primary School,Primary,Banyule (C)
Cheltenham East Primary School,Primary,Kingston (C)
Cranbourne South Primary School,Primary,Casey (C)
Yarrunga Primary School,Primary,Wangaratta (RC)
Ballarat Specialist School,Special,Ballarat (C)
Preston North East Primary School,Primary,Darebin (C)
Orbost North Primary School,Primary,East Gippsland (S)
Nelson Park School,Special,Greater Geelong (C)
Craigieburn Primary School,Primary,Hume (C)
Warrnambool East Primary School,Primary,Warrnambool (C)
Colac South West Primary School,Primary,Colac-Otway (S)
George Street Primary School - Hamilton,Primary,Southern Grampians (S)
Valkstone Primary School,Primary,Glen Eira (C)
Overport Primary School,Primary,Frankston (C)
Wembley Primary School,Primary,Maribyrnong (C)
Rosamond Special School,Special,Maribyrnong (C)
Bonbeach Primary School,Primary,Kingston (C)
Heatherhill Primary School,Primary,Greater Dandenong (C)
Beaumaris North Primary School,Primary,Bayside (C)
Hamlyn Banks Primary School,Primary,Greater Geelong (C)
Yarraman Oaks Primary School,Primary,Greater Dandenong (C)
Mount Pleasant Road Nunawading Primary School,Primary,Whitehorse (C)
Glenroy West Primary School,Primary,Moreland (C)
Dandenong South Primary School,Primary,Greater Dandenong (C)
St Albans North Primary School,Primary,Brimbank (C)
Avondale Primary School,Primary,Moonee Valley (C)
Beverley Hills Primary School,Primary,Manningham (C)
Wodonga West Primary School,Primary,Wodonga (C)
Frankston Heights Primary School,Primary,Frankston (C)
Kerrimuir Primary School,Primary,Whitehorse (C)
Heathmont East Primary School,Primary,Maroondah (C)
Strathmore North Primary School,Primary,Moonee Valley (C)
Oakleigh South Primary School,Primary,Monash (C)
Thomastown East Primary School,Primary,Whittlesea (C)
Mount Waverley Heights Primary School,Primary,Monash (C)
East Bentleigh Primary School,Primary,Glen Eira (C)
Watsonia Primary School,Primary,Banyule (C)
Parktone Primary School,Primary,Kingston (C)
Antonio Park Primary School,Primary,Whitehorse (C)
Kingsbury Primary School,Primary,Darebin (C)
Katandra School,Special,Glen Eira (C)
Ardeer Primary School,Primary,Brimbank (C)
Westall Primary School,Primary,Kingston (C)
Tullamarine Primary School,Primary,Hume (C)
Guthridge Primary School,Primary,Wellington (S)
Park Orchards Primary School,Primary,Manningham (C)
Albion North Primary School,Primary,Brimbank (C)
Blackburn Lake Primary School,Primary,Whitehorse (C)
Laburnum Primary School,Primary,Whitehorse (C)
Rollins Primary School,Primary,Greater Geelong (C)
Heatherwood School,Special,Manningham (C)
Bellaire Primary School,Primary,Greater Geelong (C)
Pinewood Primary School,Primary,Monash (C)
Broadmeadows Primary School,Primary,Hume (C)
Moomba Park Primary School,Primary,Moreland (C)
Keilor Heights Primary School,Primary,Moonee Valley (C)
Ainslie Parklands Primary School,Primary,Maroondah (C)
Parkmore Primary School,Primary,Whitehorse (C)
Lara Primary School,Primary,Greater Geelong (C)
Mullum Primary School,Primary,Maroondah (C)
Cranbourne Park Primary School,Primary,Casey (C)
Viewbank Primary School,Primary,Banyule (C)
Greenhills Primary School,Primary,Banyule (C)
Upwey South Primary School,Primary,Yarra Ranges (S)
Simpson Primary School,Primary,Corangamite (S)
Invergordon Primary School,Primary,Moira (S)
Eltham East Primary School,Primary,Nillumbik (S)
Belvedere Park Primary School,Primary,Frankston (C)
Essex Heights Primary School,Primary,Monash (C)
Mountain Gate Primary School,Primary,Knox (C)
Fairhills Primary School,Primary,Knox (C)
Boronia West Primary School,Primary,Knox (C)
Southmoor Primary School,Primary,Kingston (C)
Ringwood Heights Primary School,Primary,Maroondah (C)
Glenroy Specialist School,Special,Moreland (C)
Ruskin Park Primary School,Primary,Maroondah (C)
Emerson School,Special,Greater Dandenong (C)
Fyans Park Primary School,Primary,Greater Geelong (C)
Karingal Primary School,Primary,Frankston (C)
Mount View Primary School,Primary,Monash (C)
Syndal South Primary School,Primary,Monash (C)
Montmorency South Primary School,Primary,Banyule (C)
Berendale School,Special,Bayside (C)
Altona North Primary School,Primary,Hobsons Bay (C)
Burwood Heights Primary School,Primary,Whitehorse (C)
Stawell West Primary School,Primary,Northern Grampians (S)
Watsonia Heights Primary School,Primary,Banyule (C)
Forest Street Primary School,Primary,Ballarat (C)
Pembroke Primary School,Primary,Yarra Ranges (S)
Mahogany Rise Primary School,Primary,Frankston (C)
Wilmot Road Primary School Shepparton,Primary,Greater Shepparton (C)
Bundoora Primary School,Primary,Banyule (C)
University Park Primary School,Primary,Brimbank (C)
St Albans Heights Primary School,Primary,Brimbank (C)
Kerang South Primary School,Primary,Gannawarra (S)
Hume Valley School,Special,Hume (C)
Mentone Park Primary School,Primary,Kingston (C)
Donvale Primary School,Primary,Manningham (C)
Bell Park North Primary School,Primary,Greater Geelong (C)
Boronia Heights Primary School,Primary,Knox (C)
Glenallen School,Special,Monash (C)
Churchill Primary School,Primary,Latrobe (C)
Montpellier Primary School,Primary,Greater Geelong (C)
Bayswater South Primary School,Primary,Knox (C)
Seaford North Primary School,Primary,Frankston (C)
Morwell Park Primary School,Primary,Latrobe (C)
Lalor East Primary School,Primary,Whittlesea (C)
Jackson School,Special,Brimbank (C)
Carlton Primary School,Primary,Melbourne (C)
Oberon South Primary School,Primary,Greater Geelong (C)
Templestowe Valley Primary School,Primary,Manningham (C)
Highvale Primary School,Primary,Monash (C)
Watsonia North Primary School,Primary,Banyule (C)
Wooranna Park Primary School,Primary,Greater Dandenong (C)
Knox Park Primary School,Primary,Knox (C)
Birralee Primary School,Primary,Manningham (C)
Ararat North Primary School,Primary,Ararat (RC)
Derinya Primary School,Primary,Frankston (C)
Thomastown West Primary School,Primary,Whittlesea (C)
Rowville Primary School,Primary,Knox (C)
Mossfiel Primary School,Primary,Wyndham (C)
Templestowe Heights Primary School,Primary,Manningham (C)
Ballam Park Primary School,Primary,Frankston (C)
Sunbury West Primary School,Primary,Hume (C)
Gladstone Park Primary School,Primary,Hume (C)
Manchester Primary School,Primary,Yarra Ranges (S)
Glendal Primary School,Primary,Monash (C)
Bimbadeen Heights Primary School,Primary,Yarra Ranges (S)
Wattle View Primary School,Primary,Knox (C)
Sherbourne Primary School,Primary,Banyule (C)
Donburn Primary School,Primary,Manningham (C)
Guthrie Street Primary School Shepparton,Primary,Greater Shepparton (C)
Araluen Primary School,Primary,Wellington (S)
Royal Childrens Hospital Education Institute,Special,Melbourne (C)
Vermont South Special School,Special,Whitehorse (C)
Concord School,Special,Banyule (C)
Deer Park West Primary School,Primary,Brimbank (C)
Campbellfield Heights Primary School,Primary,Hume (C)
Lalor North Primary School,Primary,Whittlesea (C)
Melton West Primary School,Primary,Melton (C)
Diamond Creek East Primary School,Primary,Nillumbik (S)
Brandon Park Primary School,Primary,Monash (C)
Bayswater West Primary School,Primary,Knox (C)
Mornington Park Primary School,Primary,Mornington Peninsula (S)
Wodonga South Primary School,Primary,Wodonga (C)
Aldercourt Primary School,Primary,Frankston (C)
Richmond West Primary School,Primary,Yarra (C)
Marlborough Primary School,Primary,Maroondah (C)
Stevensville Primary School,Primary,Brimbank (C)
Birmingham Primary School,Primary,Yarra Ranges (S)
Woodville Primary School,Primary,Wyndham (C)
Glengala Primary School,Primary,Brimbank (C)
Karingal Heights Primary School,Primary,Frankston (C)
Wallarano Primary School,Primary,Greater Dandenong (C)
Victoria Road Primary School,Primary,Yarra Ranges (S)
Mooroolbark East Primary School,Primary,Yarra Ranges (S)
Ardeer South Primary School,Primary,Brimbank (C)
Gladesville Primary School,Primary,Yarra Ranges (S)
Falls Creek Primary School,Primary,Unincorporated Vic
Debney Meadows Primary School,Primary,Moonee Valley (C)
Fountain Gate Primary School,Primary,Casey (C)
Tinternvale Primary School,Primary,Maroondah (C)
Grovedale West Primary School,Primary,Greater Geelong (C)
Baringa Special School,Special,Latrobe (C)
Naranga Special School,Special,Frankston (C)
Kent Park Primary School,Primary,Knox (C)
Deer Park North Primary School,Primary,Brimbank (C)
Rosewood Downs Primary School,Primary,Greater Dandenong (C)
Mooroopna Park Primary School,Primary,Greater Shepparton (C)
Coburn Primary School,Primary,Melton (C)
Manorvale Primary School,Primary,Wyndham (C)
Gladstone Views Primary School,Primary,Hume (C)
Wheelers Hill Primary School,Primary,Monash (C)
Ashwood School,Special,Monash (C)
Broadmeadows Valley Primary School,Primary,Hume (C)
Bulleen Heights School,Special,Manningham (C)
Kingston Heath Primary School,Primary,Kingston (C)
Andersons Creek Primary School,Primary,Manningham (C)
Waverley Meadows Primary School,Primary,Monash (C)
Kingswood Primary School,Primary,Kingston (C)
Ascot Vale Special School,Special,Moonee Valley (C)
Camelot Rise Primary School,Primary,Monash (C)
Livingstone Primary School,Primary,Whitehorse (C)
Churchill North Primary School,Primary,Latrobe (C)
St Albans Meadows Primary School,Primary,Brimbank (C)
Silverton Primary School,Primary,Greater Dandenong (C)
Kalinda Primary School,Primary,Maroondah (C)
Whittington Primary School,Primary,Greater Geelong (C)
Coldstream Primary School,Primary,Yarra Ranges (S)
Templestowe Park Primary School,Primary,Manningham (C)
River Gum Primary School,Primary,Casey (C)
Regency Park Primary School,Primary,Knox (C)
Dorset Primary School,Primary,Maroondah (C)
Eastbourne Primary School,Primary,Mornington Peninsula (S)
Thomastown Meadows Primary School,Primary,Whittlesea (C)
Kingsley Park Primary School,Primary,Frankston (C)
James Cook Primary School,Primary,Casey (C)
Movelle Primary School,Primary,Brimbank (C)
Mount Eliza North Primary School,Primary,Mornington Peninsula (S)
Melrose Primary School,Primary,Wodonga (C)
Yarrabah School,Special,Kingston (C)
Frankston Special Developmental School,Special,Frankston (C)
Waratah Special Developmental School,Special,Banyule (C)
Port Phillip Specialist School,Special,Port Phillip (C)
Cobram and District Specialist School,Special,Moira (S)
Monash Special Developmental School,Special,Monash (C)
Iramoo Primary School,Primary,Wyndham (C)
Verney Road School,Special,Greater Shepparton (C)
Weeden Heights Primary School,Primary,Whitehorse (C)
Mill Park Primary School,Primary,Whittlesea (C)
Diamond Valley Special Developmental School,Special,Nillumbik (S)
Melton Specialist School,Special,Melton (C)
Springvale Park Special Developmental School,Special,Greater Dandenong (C)
Warringa Park School,Special,Wyndham (C)
Serpell Primary School,Primary,Manningham (C)
Mount Martha Primary School,Primary,Mornington Peninsula (S)
Altona Meadows Primary School,Primary,Hobsons Bay (C)
The Patch Primary School,Primary,Yarra Ranges (S)
Sale and District Specialist School,Special,Wellington (S)
Jells Park Primary School,Primary,Monash (C)
Albanvale Primary School,Primary,Brimbank (C)
Kismet Park Primary School,Primary,Hume (C)
Sovereign Hill School,Camp,Ballarat (C)
Kunyung Primary School,Primary,Mornington Peninsula (S)
Apollo Parkways Primary School,Primary,Nillumbik (S)
Mandama Primary School,Primary,Greater Geelong (C)
Bethal Primary School,Primary,Hume (C)
Cranbourne West Primary School,Primary,Casey (C)
Patterson Lakes Primary School,Primary,Kingston (C)
Seaford Park Primary School,Primary,Frankston (C)
Billanook Primary School,Primary,Yarra Ranges (S)
Chirnside Park Primary School,Primary,Yarra Ranges (S)
Bass Valley Primary School,Primary,Bass Coast (S)
Templeton Primary School,Primary,Knox (C)
Sunbury Heights Primary School,Primary,Hume (C)
Darley Primary School,Primary,Moorabool (S)
Delacombe Primary School,Primary,Ballarat (C)
Wallaroo Primary School,Primary,Mornington Peninsula (S)
Mossgiel Park Primary School,Primary,Casey (C)
Wedge Park Primary School,Primary,Melton (C)
Appin Park Primary School,Primary,Wangaratta (RC)
Croydon Special Developmental School,Special,Maroondah (C)
Milgate Primary School,Primary,Manningham (C)
Berwick Lodge Primary School,Primary,Casey (C)
Furlong Park School For Deaf Children,Special,Brimbank (C)
Jennings Street School,Special,Hobsons Bay (C)
Sunbury And Macedon Ranges Specialist School,Special,Hume (C)
Northern School For Autism,Special,Darebin (C)
Latrobe Special Developmental School,Special,Latrobe (C)
Belvoir Wodonga Special Developmental School,Special,Wodonga (C)
Botanic Ridge Primary School,Primary,Casey (C)
Burwood East Special Developmental School,Special,Whitehorse (C)
Wangaratta District Specialist School,Special,Wangaratta (RC)
Meadow Heights Primary School,Primary,Hume (C)
Bundarra Primary School,Primary,Glenelg (S)
Peninsula Specialist College,Special,Mornington Peninsula (S)
Chalcot Lodge Primary School,Primary,Casey (C)
Rangebank Primary School,Primary,Casey (C)
Knox Gardens Primary School,Primary,Knox (C)
Southern Cross Primary School,Primary,Casey (C)
Kings Park Primary School,Primary,Brimbank (C)
Dandenong Valley Special Developmental School,Special,Casey (C)
Mornington Special Developmental School,Special,Mornington Peninsula (S)
Bayside Special Developmental School,Special,Kingston (C)
Rolling Hills Primary School,Primary,Yarra Ranges (S)
Craigieburn South Primary School,Primary,Hume (C)
Findon Primary School,Primary,Whittlesea (C)
Loch Sport Primary School,Primary,Wellington (S)
Yarra Ranges Special Developmental School,Special,Yarra Ranges (S)
Colac Specialist School,Special,Colac-Otway (S)
Goonawarra Primary School,Primary,Hume (C)
Mildura Specialist School,Special,Mildura (RC)
Southern Autistic School,Special,Glen Eira (C)
Bellbridge Primary School,Primary,Wyndham (C)
Croydon Hills Primary School,Primary,Maroondah (C)
Kurunjang Primary School,Primary,Melton (C)
Langwarrin Park Primary School,Primary,Frankston (C)
Taylors Lakes Primary School,Primary,Brimbank (C)
Glen Katherine Primary School,Primary,Banyule (C)
Coburg Special Developmental School,Special,Moreland (C)
Broadmeadows Special Developmental School,Special,Hume (C)
Sunshine Special Developmental School,Special,Brimbank (C)
Swan Hill Specialist School,Special,Swan Hill (RC)
Richmond Primary School,Primary,Yarra (C)
Yarra Primary School,Primary,Yarra (C)
Skene Street School Stawell,Special,Northern Grampians (S)
Horsham Special School,Special,Horsham (RC)
Hampden Specialist School,Special,Corangamite (S)
Warrnambool Special Developmental School,Special,Warrnambool (C)
Yarraville Special Developmental School,Special,Maribyrnong (C)
Clifton Springs Primary School,Primary,Greater Geelong (C)
Park Ridge Primary School,Primary,Knox (C)
Portland Bay School,Special,Glenelg (S)
Hamilton Parklands School,Special,Southern Grampians (S)
Merriang Special Developmental School,Special,Whittlesea (C)
Orchard Grove Primary School,Primary,Whitehorse (C)
Meadowglen Primary School,Primary,Whittlesea (C)
Altona Green Primary School,Primary,Hobsons Bay (C)
Boroondara Park Primary School,Primary,Boroondara (C)
Warragul & District Specialist School,Special,Baw Baw (S)
Western Autistic School,Special,Hobsons Bay (C)
Warracknabeal Special Developmental School,Special,Yarriambiack (S)
Coral Park Primary School,Primary,Casey (C)
Maramba Primary School,Primary,Casey (C)
Thomas Mitchell Primary School,Primary,Casey (C)
Karoo Primary School,Primary,Knox (C)
Mackellar Primary School,Primary,Brimbank (C)
Bendigo Special Developmental School,Special,Greater Bendigo (C)
Echuca Specialist School,Special,Campaspe (S)
Aspendale Gardens Primary School,Primary,Kingston (C)
Berwick Fields Primary School,Primary,Casey (C)
Brentwood Park Primary School,Primary,Casey (C)
Eastern Ranges School,Special,Knox (C)
Cambridge Primary School,Primary,Wyndham (C)
Rowellyn Park Primary School,Primary,Frankston (C)
Baden Powell P-9 College,Pri/Sec,Wyndham (C)
Woodlands Primary School,Primary,Frankston (C)
Mill Park Heights Primary School,Primary,Whittlesea (C)
Monmia Primary School,Primary,Brimbank (C)
Seabrook Primary School,Primary,Hobsons Bay (C)
Willmott Park Primary School,Primary,Hume (C)
Thomas Chirnside Primary School,Primary,Wyndham (C)
Heany Park Primary School,Primary,Knox (C)
Ranfurly Primary School,Primary,Mildura (RC)
Kilberry Valley Primary School,Primary,Casey (C)
Killara Primary School,Primary,Hume (C)
Surfside Primary School,Primary,Greater Geelong (C)
Riverwalk Primary School,Primary,Wyndham (C)
Oatlands Primary School,Primary,Casey (C)
Westgrove Primary School,Primary,Wyndham (C)
Peranbin Primary College,Primary,Strathbogie (S)
Barwon Valley School,Special,Greater Geelong (C)
Pentland Primary School,Primary,Moorabool (S)
Pakenham Hills Primary School,Primary,Cardinia (S)
Courtenay Gardens Primary School,Primary,Casey (C)
Somerville Rise Primary School,Primary,Mornington Peninsula (S)
Derrinallum P-12 College,Pri/Sec,Corangamite (S)
Mortlake College,Pri/Sec,Moyne (S)
Branxholme-Wallacedale Community School,Primary,Southern Grampians (S)
Mount Duneed Regional Primary School,Primary,Greater Geelong (C)
Grasmere Primary School,Primary,Moyne (S)
Narrawong District Primary School,Primary,Glenelg (S)
Canadian Lead Primary School,Primary,Ballarat (C)
Caledonian Primary School,Primary,Ballarat (C)
Grayling Primary School,Primary,Casey (C)
Tempy Primary School,Primary,Yarriambiack (S)
Rawson Primary School,Primary,Baw Baw (S)
Bundalaguah Primary School,Primary,Wellington (S)
Lardner and District Primary School,Primary,Baw Baw (S)
Neerim District Rural Primary School,Primary,Baw Baw (S)
Nambrok Denison Primary School,Primary,Wellington (S)
Welshpool and District Primary School,Primary,South Gippsland (S)
Whitfield District Primary School,Primary,Wangaratta (RC)
Greta Valley Primary School,Primary,Wangaratta (RC)
Everton Primary School,Primary,Wangaratta (RC)
Waaia Yalca South Primary School,Primary,Moira (S)
Nangiloc Colignan and District Primary School,Primary,Mildura (RC)
Tyrrell College,Pri/Sec,Buloke (S)
Harcourt Valley Primary School,Primary,Mount Alexander (S)
Beverford District Primary School,Primary,Swan Hill (RC)
Niddrie Primary School,Primary,Moonee Valley (C)
Lucas Primary School,Primary,Ballarat (C)
Toolern Vale and District Primary School,Primary,Melton (C)
Parkhill Primary School,Primary,Monash (C)
Kananook Primary School,Primary,Frankston (C)
Roberts McCubbin Primary School,Primary,Whitehorse (C)
Tarwin Valley Primary School,Primary,South Gippsland (S)
Bayles Regional Primary School,Primary,Cardinia (S)
Le Page Primary School,Primary,Kingston (C)
Powlett River Primary School,Primary,Bass Coast (S)
Glen Waverley Primary School,Primary,Monash (C)
Carrington Primary School,Primary,Knox (C)
Albany Rise Primary School,Primary,Monash (C)
Amsleigh Park Primary School,Primary,Monash (C)
Knox Central Primary School,Primary,Knox (C)
Mount Waverley North Primary School,Primary,Monash (C)
Rangeview Primary School,Primary,Whitehorse (C)
Edenhope College,Pri/Sec,West Wimmera (S)
Murrayville Community College,Pri/Sec,Mildura (RC)
Hawkesdale College,Pri/Sec,Moyne (S)
Carwatha College P-12,Pri/Sec,Greater Dandenong (C)
Glen Waverley South Primary School,Primary,Monash (C)
Streeton Primary School,Primary,Banyule (C)
Woorinen District Primary School,Primary,Swan Hill (RC)
Woady Yaloak Primary School,Primary,Golden Plains (S)
Millwarra Primary School,Primary,Yarra Ranges (S)
Gormandale And District Primary School,Primary,Wellington (S)
Roxburgh Homestead Primary School,Primary,Hume (C)
Newcomb Park Primary School,Primary,Greater Geelong (C)
Dinjerra Primary School,Primary,Maribyrnong (C)
Belle Vue Park Primary School,Primary,Moreland (C)
Doncaster Gardens Primary School,Primary,Manningham (C)
Nyah District Primary School,Primary,Swan Hill (RC)
Strathaird Primary School,Primary,Casey (C)
Marnebek School Cranbourne,Special,Casey (C)
Great Ryrie Primary School,Primary,Maroondah (C)
Timbarra P-9 College,Pri/Sec,Casey (C)
Parkwood Green Primary School,Primary,Melton (C)
Hillsmeade Primary School,Primary,Casey (C)
Roxburgh Park Primary School,Primary,Hume (C)
Carranballac P-9 College,Pri/Sec,Wyndham (C)
Benton Junior College,Primary,Mornington Peninsula (S)
Caulfield Primary School,Primary,Glen Eira (C)
East Gippsland Specialist School,Special,East Gippsland (S)
Roxburgh Rise Primary School,Primary,Hume (C)
Lynbrook Primary School,Primary,Casey (C)
South Gippsland Specialist School,Special,South Gippsland (S)
