School_Name,School_Type,LGA_Name
Yarra Glen Primary School,Primary,Yarra Ranges (S)
Elmhurst Primary School,Primary,Ararat (RC)
Kangaroo Flat Primary School,Primary,Greater Bendigo (C)
Westmeadows Primary School,Primary,Hume (C)
Sunbury Primary School,Primary,Hume (C)
Diamond Creek Primary School,Primary,Nillumbik (S)
Hesket Primary School,Primary,Macedon Ranges (S)
Axedale Primary School,Primary,Greater Bendigo (C)
Vermont Primary School,Primary,Whitehorse (C)
Tarnagulla Primary School,Primary,Loddon (S)
Balwyn Primary School,Primary,Boroondara (C)
Scoresby Primary School,Primary,Knox (C)
Carisbrook Primary School,Primary,Central Goldfields (S)
Wandin Yallock Primary School,Primary,Yarra Ranges (S)
Yering Primary School,Primary,Yarra Ranges (S)
Dartmoor Primary School,Primary,Glenelg (S)
Mickleham Primary School,Primary,Hume (C)
Inglewood Primary School,Primary,Loddon (S)
Chewton Primary School,Primary,Mount Alexander (S)
Bolinda Primary School,Primary,Macedon Ranges (S)
Napoleons Primary School,Primary,Golden Plains (S)
Kew Primary School,Primary,Boroondara (C)
Haddon Primary School,Primary,Golden Plains (S)
Panmure Primary School,Primary,Moyne (S)
Sorrento Primary School,Primary,Mornington Peninsula (S)
Alfredton Primary School,Primary,Ballarat (C)
Bridgewater Primary School,Primary,Loddon (S)
Hastings Primary School,Primary,Mornington Peninsula (S)
Yackandandah Primary School,Primary,Indigo (S)
Nagambie Primary School,Primary,Strathbogie (S)
Heyfield Primary School,Primary,Wellington (S)
Moorabbin Primary School,Primary,Kingston (C)
Mansfield Primary School,Primary,Mansfield (S)
Middle Indigo Primary School,Primary,Indigo (S)
Briagolong Primary School,Primary,Wellington (S)
Lindenow Primary School,Primary,East Gippsland (S)
Broadford Primary School,Primary,Mitchell (S)
Murchison Primary School,Primary,Greater Shepparton (C)
Panton Hill Primary School,Primary,Nillumbik (S)
Glen Park Primary School,Primary,Moorabool (S)
Concongella Primary School,Primary,Northern Grampians (S)
Bruthen Primary School,Primary,East Gippsland (S)
Swan Hill Primary School,Primary,Swan Hill (RC)
Porepunkah Primary School,Primary,Alpine (S)
Leopold Primary School,Primary,Greater Geelong (C)
Inverleigh Primary School,Primary,Golden Plains (S)
Glen Iris Primary School,Primary,Boroondara (C)
Trawalla Primary School,Primary,Pyrenees (S)
Quarry Hill Primary School,Primary,Greater Bendigo (C)
Sebastopol Primary School,Primary,Ballarat (C)
Woodside Primary School,Primary,Wellington (S)
Noorat Primary School,Primary,Corangamite (S)
Albert Park Primary School,Primary,Port Phillip (C)
Williamstown Primary School,Primary,Hobsons Bay (C)
Boneo Primary School,Primary,Mornington Peninsula (S)
Queenscliff Primary School,Primary,Queenscliffe (B)
Portland North Primary School,Primary,Glenelg (S)
Timor Primary School,Primary,Central Goldfields (S)
Apsley Primary School,Primary,West Wimmera (S)
Strathfieldsaye Primary School,Primary,Greater Bendigo (C)
Skye Primary School,Primary,Frankston (C)
Tooborac Primary School,Primary,Mitchell (S)
Lucknow Primary School,Primary,East Gippsland (S)
Upper Plenty Primary School,Primary,Mitchell (S)
Carlton North Primary School,Primary,Yarra (C)
Maldon Primary School,Primary,Mount Alexander (S)
Woori Yallock Primary School,Primary,Yarra Ranges (S)
Moyston Primary School,Primary,Ararat (RC)
Buninyong Primary School,Primary,Ballarat (C)
Marysville Primary School,Primary,Murrindindi (S)
Langley Primary School,Primary,Mount Alexander (S)
