School_Name,LGA_Name,weighted_score
tecoma primary school,Yarra Ranges (S),0.5
torquay p-6 college,Surf Coast (S),0.5
nyora primary school,South Gippsland (S),0.5
exford primary school,Melton (C),0.5
ultima primary school,Swan Hill (RC),0.5
marlo primary school,East Gippsland (S),0.5
wesburn primary school,Yarra Ranges (S),0.5
koorlong primary school,Mildura (RC),0.5
warranwood primary school,Maroondah (C),0.5
willowmavin primary school,Mitchell (S),0.5
olinda primary school,Yarra Ranges (S),0.5
carlisle river primary school,Colac-Otway (S),0.5
spring gully primary school,Greater Bendigo (C),0.5
langwarrin primary school,Frankston (C),0.5
cockatoo primary school,Cardinia (S),0.5
tyabb railway station primary school,Mornington Peninsula (S),0.5
belgrave south primary school,Yarra Ranges (S),0.5
sydenham - hillside primary school,Brimbank (C),0.5
the lake primary school,Mildura (RC),0.5
grey street primary school (traralgon),Latrobe (C),0.5
fawkner primary school,Moreland (C),0.5
bona vista primary school,Baw Baw (S),0.5
banyan fields primary school,Frankston (C),0.5
norris bank primary school,Whittlesea (C),0.5
macclesfield primary school,Yarra Ranges (S),0.5
mount evelyn primary school,Yarra Ranges (S),0.5
kilsyth primary school,Yarra Ranges (S),0.5
wonthaggi primary school,Bass Coast (S),0.5
spotswood primary school,Hobsons Bay (C),0.5
clyde primary school,Casey (C),0.5
noble park primary school,Greater Dandenong (C),0.5
clifton creek primary school,East Gippsland (S),0.5
kennington primary school,Greater Bendigo (C),0.5
cardinia primary school,Cardinia (S),0.5
grahamvale primary school,Greater Shepparton (C),0.5
irymple south primary school,Mildura (RC),0.5
nanneella estate primary school,Campaspe (S),0.5
wantirna primary school,Knox (C),0.5
wonthaggi north primary school,Bass Coast (S),0.5
melton south primary school,Melton (C),0.5
chelsea primary school,Kingston (C),0.5
nowa nowa primary school,East Gippsland (S),0.5
balliang east primary school,Moorabool (S),0.5
edithvale primary school,Kingston (C),0.5
orrvale primary school,Greater Shepparton (C),0.5
penders grove primary school,Darebin (C),0.5
underbool primary school,Mildura (RC),0.5
seaford primary school,Frankston (C),0.5
murrabit group school,Gannawarra (S),0.5
thornbury primary school,Darebin (C),0.5
currawa primary school,Greater Shepparton (C),0.5
devon meadows primary school,Casey (C),0.5
upper ferntree gully primary school,Knox (C),0.5
eildon primary school,Murrindindi (S),0.5
bittern primary school,Mornington Peninsula (S),0.5
colbinabbin primary school,Campaspe (S),0.5
stanhope primary school,Campaspe (S),0.5
hurstbridge primary school,Nillumbik (S),0.5
dhurringile primary school,Greater Shepparton (C),0.5
strathewen primary school,Nillumbik (S),0.5
don valley primary school,Yarra Ranges (S),0.5
reservoir primary school,Darebin (C),0.5
yallourn north primary school,Latrobe (C),0.5
toorloo arm primary school,East Gippsland (S),0.5
girgarre primary school,Campaspe (S),0.5
yaapeet primary school,Yarriambiack (S),0.5
gladysdale primary school,Yarra Ranges (S),0.5
mildura west primary school,Mildura (RC),0.5
kallista primary school,Yarra Ranges (S),0.5
ascot vale west primary school,Moonee Valley (C),0.5
red cliffs primary school,Mildura (RC),0.5
wattle glen primary school,Nillumbik (S),0.5
hampton park primary school,Casey (C),0.5
colac west primary school,Colac-Otway (S),0.5
noojee primary school,Baw Baw (S),0.5
moriac primary school,Surf Coast (S),0.5
red cliffs east primary school,Mildura (RC),0.5
bayswater north primary school,Maroondah (C),0.5
airly primary school,Wellington (S),0.5
merrivale primary school,Warrnambool (C),0.5
dandenong west primary school,Greater Dandenong (C),0.5
yarra road primary school,Maroondah (C),0.5
manifold heights primary school,Greater Geelong (C),0.5
nungurner primary school,East Gippsland (S),0.5
dingley primary school,Kingston (C),0.5
cardross primary school,Mildura (RC),0.5
albion primary school,Brimbank (C),0.5
lemnos primary school,Greater Shepparton (C),0.5
tarwin lower primary school,South Gippsland (S),0.5
seaspray primary school,Wellington (S),0.5
anglesea primary school,Surf Coast (S),0.5
briar hill primary school,Banyule (C),0.5
zeerust primary school,Greater Shepparton (C),0.5
clayton south primary school,Kingston (C),0.5
cobains primary school,Wellington (S),0.5
mildura south primary school,Mildura (RC),0.5
tate street primary school geelong,Greater Geelong (C),0.5
brunswick north west primary school,Moreland (C),0.5
katandra west primary school,Greater Shepparton (C),0.5
fleetwood primary school,Casey (C),0.5
somers primary school,Mornington Peninsula (S),0.5
rosanna primary school,Banyule (C),0.5
strathmore primary school,Moonee Valley (C),0.5
wangaratta west primary school,Wangaratta (RC),0.5
mount beauty primary school,Alpine (S),0.5
newlands primary school,Darebin (C),0.5
somers school camp,Mornington Peninsula (S),0.5
newborough primary school,Latrobe (C),0.5
traralgon (stockdale road) primary school,Latrobe (C),0.5
gowrie street primary school shepparton,Greater Shepparton (C),0.5
tootgarook primary school,Mornington Peninsula (S),0.5
moe (south street) primary school,Latrobe (C),0.5
roslyn primary school,Greater Geelong (C),0.5
newport gardens primary school,Hobsons Bay (C),0.5
st georges road primary school shepparton,Greater Shepparton (C),0.5
newborough east primary school,Latrobe (C),0.5
herne hill primary school,Greater Geelong (C),0.5
frankston east primary school,Frankston (C),0.5
reservoir east primary school,Darebin (C),0.5
katunga primary school,Moira (S),0.5
ballarat north primary school,Ballarat (C),0.5
bandiana primary school,Wodonga (C),0.5
warragul north primary school,Baw Baw (S),0.5
horsham west and haven primary school,Horsham (RC),0.5
traralgon (kosciuszko street) primary school,Latrobe (C),0.5
traralgon (liddiard road) primary school,Latrobe (C),0.5
eastwood primary school,Maroondah (C),0.5
pascoe vale south primary school,Moreland (C),0.5
lalor primary school,Whittlesea (C),0.5
reservoir west primary school,Darebin (C),0.5
ferntree gully north primary school,Knox (C),0.5
ararat west primary school,Ararat (RC),0.5
oak park primary school,Moreland (C),0.5
bairnsdale west primary school,East Gippsland (S),0.5
harrisfield primary school,Greater Dandenong (C),0.5
pascoe vale north primary school,Moreland (C),0.5
oberon primary school,Greater Geelong (C),0.5
moe primary school,Latrobe (C),0.5
st albans east primary school,Brimbank (C),0.5
bourchier street primary school shepparton,Greater Shepparton (C),0.5
swan hill north primary school,Swan Hill (RC),0.5
sunshine heights primary school,Brimbank (C),0.5
sunshine north primary school,Brimbank (C),0.5
portland south primary school,Glenelg (S),0.5
cranbourne south primary school,Casey (C),0.5
yarrunga primary school,Wangaratta (RC),0.5
preston north east primary school,Darebin (C),0.5
orbost north primary school,East Gippsland (S),0.5
craigieburn primary school,Hume (C),0.5
warrnambool east primary school,Warrnambool (C),0.5
colac south west primary school,Colac-Otway (S),0.5
george street primary school - hamilton,Southern Grampians (S),0.5
overport primary school,Frankston (C),0.5
heatherhill primary school,Greater Dandenong (C),0.5
hamlyn banks primary school,Greater Geelong (C),0.5
yarraman oaks primary school,Greater Dandenong (C),0.5
mount pleasant road nunawading primary school,Whitehorse (C),0.5
glenroy west primary school,Moreland (C),0.5
dandenong south primary school,Greater Dandenong (C),0.5
st albans north primary school,Brimbank (C),0.5
wodonga west primary school,Wodonga (C),0.5
frankston heights primary school,Frankston (C),0.5
east bentleigh primary school,Glen Eira (C),0.5
watsonia primary school,Banyule (C),0.5
kingsbury primary school,Darebin (C),0.5
ardeer primary school,Brimbank (C),0.5
westall primary school,Kingston (C),0.5
tullamarine primary school,Hume (C),0.5
guthridge primary school,Wellington (S),0.5
albion north primary school,Brimbank (C),0.5
rollins primary school,Greater Geelong (C),0.5
bellaire primary school,Greater Geelong (C),0.5
broadmeadows primary school,Hume (C),0.5
moomba park primary school,Moreland (C),0.5
keilor heights primary school,Moonee Valley (C),0.5
ainslie parklands primary school,Maroondah (C),0.5
parkmore primary school,Whitehorse (C),0.5
lara primary school,Greater Geelong (C),0.5
cranbourne park primary school,Casey (C),0.5
upwey south primary school,Yarra Ranges (S),0.5
simpson primary school,Corangamite (S),0.5
invergordon primary school,Moira (S),0.5
belvedere park primary school,Frankston (C),0.5
fairhills primary school,Knox (C),0.5
boronia west primary school,Knox (C),0.5
ringwood heights primary school,Maroondah (C),0.5
ruskin park primary school,Maroondah (C),0.5
fyans park primary school,Greater Geelong (C),0.5
karingal primary school,Frankston (C),0.5
altona north primary school,Hobsons Bay (C),0.5
stawell west primary school,Northern Grampians (S),0.5
forest street primary school,Ballarat (C),0.5
pembroke primary school,Yarra Ranges (S),0.5
mahogany rise primary school,Frankston (C),0.5
wilmot road primary school shepparton,Greater Shepparton (C),0.5
bundoora primary school,Banyule (C),0.5
university park primary school,Brimbank (C),0.5
st albans heights primary school,Brimbank (C),0.5
kerang south primary school,Gannawarra (S),0.5
mentone park primary school,Kingston (C),0.5
bell park north primary school,Greater Geelong (C),0.5
boronia heights primary school,Knox (C),0.5
churchill primary school,Latrobe (C),0.5
montpellier primary school,Greater Geelong (C),0.5
seaford north primary school,Frankston (C),0.5
morwell park primary school,Latrobe (C),0.5
lalor east primary school,Whittlesea (C),0.5
carlton primary school,Melbourne (C),0.5
oberon south primary school,Greater Geelong (C),0.5
wooranna park primary school,Greater Dandenong (C),0.5
knox park primary school,Knox (C),0.5
ararat north primary school,Ararat (RC),0.5
thomastown west primary school,Whittlesea (C),0.5
rowville primary school,Knox (C),0.5
mossfiel primary school,Wyndham (C),0.5
ballam park primary school,Frankston (C),0.5
sunbury west primary school,Hume (C),0.5
gladstone park primary school,Hume (C),0.5
manchester primary school,Yarra Ranges (S),0.5
bimbadeen heights primary school,Yarra Ranges (S),0.5
wattle view primary school,Knox (C),0.5
sherbourne primary school,Banyule (C),0.5
guthrie street primary school shepparton,Greater Shepparton (C),0.5
araluen primary school,Wellington (S),0.5
deer park west primary school,Brimbank (C),0.5
campbellfield heights primary school,Hume (C),0.5
lalor north primary school,Whittlesea (C),0.5
melton west primary school,Melton (C),0.5
diamond creek east primary school,Nillumbik (S),0.5
bayswater west primary school,Knox (C),0.5
mornington park primary school,Mornington Peninsula (S),0.5
wodonga south primary school,Wodonga (C),0.5
aldercourt primary school,Frankston (C),0.5
richmond west primary school,Yarra (C),0.5
marlborough primary school,Maroondah (C),0.5
stevensville primary school,Brimbank (C),0.5
birmingham primary school,Yarra Ranges (S),0.5
woodville primary school,Wyndham (C),0.5
glengala primary school,Brimbank (C),0.5
karingal heights primary school,Frankston (C),0.5
wallarano primary school,Greater Dandenong (C),0.5
victoria road primary school,Yarra Ranges (S),0.5
mooroolbark east primary school,Yarra Ranges (S),0.5
ardeer south primary school,Brimbank (C),0.5
gladesville primary school,Yarra Ranges (S),0.5
falls creek primary school,Unincorporated Vic,0.5
debney meadows primary school,Moonee Valley (C),0.5
fountain gate primary school,Casey (C),0.5
tinternvale primary school,Maroondah (C),0.5
grovedale west primary school,Greater Geelong (C),0.5
kent park primary school,Knox (C),0.5
deer park north primary school,Brimbank (C),0.5
rosewood downs primary school,Greater Dandenong (C),0.5
mooroopna park primary school,Greater Shepparton (C),0.5
coburn primary school,Melton (C),0.5
manorvale primary school,Wyndham (C),0.5
gladstone views primary school,Hume (C),0.5
broadmeadows valley primary school,Hume (C),0.5
waverley meadows primary school,Monash (C),0.5
churchill north primary school,Latrobe (C),0.5
st albans meadows primary school,Brimbank (C),0.5
silverton primary school,Greater Dandenong (C),0.5
kalinda primary school,Maroondah (C),0.5
whittington primary school,Greater Geelong (C),0.5
coldstream primary school,Yarra Ranges (S),0.5
river gum primary school,Casey (C),0.5
regency park primary school,Knox (C),0.5
dorset primary school,Maroondah (C),0.5
eastbourne primary school,Mornington Peninsula (S),0.5
thomastown meadows primary school,Whittlesea (C),0.5
kingsley park primary school,Frankston (C),0.5
james cook primary school,Casey (C),0.5
movelle primary school,Brimbank (C),0.5
melrose primary school,Wodonga (C),0.5
iramoo primary school,Wyndham (C),0.5
mill park primary school,Whittlesea (C),0.5
mount martha primary school,Mornington Peninsula (S),0.5
altona meadows primary school,Hobsons Bay (C),0.5
the patch primary school,Yarra Ranges (S),0.5
albanvale primary school,Brimbank (C),0.5
kismet park primary school,Hume (C),0.5
mandama primary school,Greater Geelong (C),0.5
bethal primary school,Hume (C),0.5
cranbourne west primary school,Casey (C),0.5
patterson lakes primary school,Kingston (C),0.5
seaford park primary school,Frankston (C),0.5
billanook primary school,Yarra Ranges (S),0.5
chirnside park primary school,Yarra Ranges (S),0.5
bass valley primary school,Bass Coast (S),0.5
sunbury heights primary school,Hume (C),0.5
darley primary school,Moorabool (S),0.5
delacombe primary school,Ballarat (C),0.5
wallaroo primary school,Mornington Peninsula (S),0.5
mossgiel park primary school,Casey (C),0.5
wedge park primary school,Melton (C),0.5
appin park primary school,Wangaratta (RC),0.5
berwick lodge primary school,Casey (C),0.5
botanic ridge primary school,Casey (C),0.5
meadow heights primary school,Hume (C),0.5
bundarra primary school,Glenelg (S),0.5
chalcot lodge primary school,Casey (C),0.5
rangebank primary school,Casey (C),0.5
southern cross primary school,Casey (C),0.5
kings park primary school,Brimbank (C),0.5
rolling hills primary school,Yarra Ranges (S),0.5
craigieburn south primary school,Hume (C),0.5
findon primary school,Whittlesea (C),0.5
loch sport primary school,Wellington (S),0.5
goonawarra primary school,Hume (C),0.5
bellbridge primary school,Wyndham (C),0.5
kurunjang primary school,Melton (C),0.5
langwarrin park primary school,Frankston (C),0.5
taylors lakes primary school,Brimbank (C),0.5
glen katherine primary school,Banyule (C),0.5
clifton springs primary school,Greater Geelong (C),0.5
meadowglen primary school,Whittlesea (C),0.5
altona green primary school,Hobsons Bay (C),0.5
coral park primary school,Casey (C),0.5
maramba primary school,Casey (C),0.5
mackellar primary school,Brimbank (C),0.5
berwick fields primary school,Casey (C),0.5
cambridge primary school,Wyndham (C),0.5
rowellyn park primary school,Frankston (C),0.5
mill park heights primary school,Whittlesea (C),0.5
monmia primary school,Brimbank (C),0.5
willmott park primary school,Hume (C),0.5
thomas chirnside primary school,Wyndham (C),0.5
heany park primary school,Knox (C),0.5
ranfurly primary school,Mildura (RC),0.5
kilberry valley primary school,Casey (C),0.5
killara primary school,Hume (C),0.5
surfside primary school,Greater Geelong (C),0.5
riverwalk primary school,Wyndham (C),0.5
westgrove primary school,Wyndham (C),0.5
peranbin primary college,Strathbogie (S),0.5
pentland primary school,Moorabool (S),0.5
pakenham hills primary school,Cardinia (S),0.5
somerville rise primary school,Mornington Peninsula (S),0.5
branxholme-wallacedale community school,Southern Grampians (S),0.5
mount duneed regional primary school,Greater Geelong (C),0.5
grasmere primary school,Moyne (S),0.5
narrawong district primary school,Glenelg (S),0.5
canadian lead primary school,Ballarat (C),0.5
caledonian primary school,Ballarat (C),0.5
grayling primary school,Casey (C),0.5
tempy primary school,Yarriambiack (S),0.5
rawson primary school,Baw Baw (S),0.5
bundalaguah primary school,Wellington (S),0.5
lardner and district primary school,Baw Baw (S),0.5
neerim district rural primary school,Baw Baw (S),0.5
nambrok denison primary school,Wellington (S),0.5
welshpool and district primary school,South Gippsland (S),0.5
whitfield district primary school,Wangaratta (RC),0.5
greta valley primary school,Wangaratta (RC),0.5
everton primary school,Wangaratta (RC),0.5
waaia yalca south primary school,Moira (S),0.5
nangiloc colignan and district primary school,Mildura (RC),0.5
harcourt valley primary school,Mount Alexander (S),0.5
beverford district primary school,Swan Hill (RC),0.5
niddrie primary school,Moonee Valley (C),0.5
lucas primary school,Ballarat (C),0.5
toolern vale and district primary school,Melton (C),0.5
parkhill primary school,Monash (C),0.5
kananook primary school,Frankston (C),0.5
tarwin valley primary school,South Gippsland (S),0.5
bayles regional primary school,Cardinia (S),0.5
le page primary school,Kingston (C),0.5
powlett river primary school,Bass Coast (S),0.5
carrington primary school,Knox (C),0.5
albany rise primary school,Monash (C),0.5
amsleigh park primary school,Monash (C),0.5
knox central primary school,Knox (C),0.5
streeton primary school,Banyule (C),0.5
woorinen district primary school,Swan Hill (RC),0.5
woady yaloak primary school,Golden Plains (S),0.5
millwarra primary school,Yarra Ranges (S),0.5
gormandale and district primary school,Wellington (S),0.5
roxburgh homestead primary school,Hume (C),0.5
newcomb park primary school,Greater Geelong (C),0.5
dinjerra primary school,Maribyrnong (C),0.5
belle vue park primary school,Moreland (C),0.5
nyah district primary school,Swan Hill (RC),0.5
strathaird primary school,Casey (C),0.5
great ryrie primary school,Maroondah (C),0.5
parkwood green primary school,Melton (C),0.5
hillsmeade primary school,Casey (C),0.5
roxburgh park primary school,Hume (C),0.5
benton junior college,Mornington Peninsula (S),0.5
roxburgh rise primary school,Hume (C),0.5
lynbrook primary school,Casey (C),0.5
laurimar primary school,Whittlesea (C),0.5
truganina south primary school,Wyndham (C),0.5
harvest home primary school,Whittlesea (C),0.5
burnside primary school,Melton (C),0.5
berwick chase primary school,Casey (C),0.5
pakenham lakeside primary school,Cardinia (S),0.5
davis creek primary school,Wyndham (C),0.5
pakenham springs primary school,Cardinia (S),0.5
taylors hill primary school,Melton (C),0.5
cranbourne carlisle primary school,Casey (C),0.5
derrimut primary school,Brimbank (C),0.5
epping views primary school,Whittlesea (C),0.5
echuca twin rivers primary school,Campaspe (S),0.5
cranbourne east primary school,Casey (C),0.5
lyndhurst primary school,Casey (C),0.5
aitken creek primary school,Hume (C),0.5
reservoir views primary school,Darebin (C),0.5
meadows primary school,Hume (C),0.5
mernda park primary school,Whittlesea (C),0.5
sunshine harvester primary school,Brimbank (C),0.5
pakenham primary school,Cardinia (S),0.5
golden square primary school,Greater Bendigo (C),0.5
lalor gardens primary school,Whittlesea (C),0.5
chandler park primary school,Greater Dandenong (C),0.5
keysborough primary school,Greater Dandenong (C),0.5
lyndale greens primary school,Greater Dandenong (C),0.5
athol road primary school,Greater Dandenong (C),0.5
springvale rise primary school,Greater Dandenong (C),0.5
spring parks primary school,Greater Dandenong (C),0.5
keilor views primary school,Brimbank (C),0.5
wyndham park primary school,Wyndham (C),0.5
lightning reef primary school,Greater Bendigo (C),0.5
william ruthven primary school,Darebin (C),0.5
newbury primary school,Hume (C),0.5
dallas brooks community primary school,Hume (C),0.5
horsham primary school,Horsham (RC),0.5
wyndham vale primary school,Wyndham (C),0.5
epping primary school,Whittlesea (C),0.5
coolaroo south primary school,Hume (C),0.5
torquay coast primary school,Surf Coast (S),0.5
arnolds creek primary school,Melton (C),0.5
wilandra rise primary school,Casey (C),0.5
south melbourne primary school,Port Phillip (C),0.5
barton primary school,Casey (C),0.5
john henry primary school,Cardinia (S),0.5
south melbourne park primary school,Port Phillip (C),0.5
bridgewood primary school,Cardinia (S),0.5
armstrong creek school,Greater Geelong (C),0.5
aireys inlet primary school,Surf Coast (S),0.5
aitken hill primary school,Hume (C),0.5
morwell central primary school,Latrobe (C),0.5
ashley park primary school,Whittlesea (C),0.5
casey fields primary school,Casey (C),0.5
mirripoa primary school,Greater Geelong (C),0.5
keysborough gardens primary school,Greater Dandenong (C),0.5
alvie consolidated school,Colac-Otway (S),0.5
boisdale consolidated school,Wellington (S),0.5
cobram primary school,Moira (S),0.5
cohuna consolidated school,Gannawarra (S),0.5
dunkeld consolidated school,Southern Grampians (S),0.5
foster primary school,South Gippsland (S),0.5
heywood consolidated school,Glenelg (S),0.5
kiewa valley primary school,Indigo (S),0.5
lockington consolidated school,Campaspe (S),0.5
merino consolidated school,Glenelg (S),0.5
pakenham consolidated school,Cardinia (S),0.5
poowong consolidated school,South Gippsland (S),0.5
port fairy consolidated school,Moyne (S),0.5
red hill consolidated school,Mornington Peninsula (S),0.5
tongala primary school,Campaspe (S),0.5
tarneit rise primary school,Wyndham (C),0.5
springside primary school,Melton (C),0.5
st patricks school,Ballarat (C),0.5
st alipius parish school,Ballarat (C),0.5
st marys school,Mansfield (S),0.5
sacred heart school,Hobsons Bay (C),0.5
st marys school,Hobsons Bay (C),0.5
st michaels school,Melbourne (C),0.5
st patricks school,Wangaratta (RC),0.5
st marys school,Port Phillip (C),0.5
st brendans school,Moonee Valley (C),0.5
st augustines school,Central Goldfields (S),0.5
st marys school,East Gippsland (S),0.5
st aloysius school,Ballarat (C),0.5
st josephs school,Boroondara (C),0.5
st josephs school,Darebin (C),0.5
sacred heart school,Darebin (C),0.5
sacred heart school,Latrobe (C),0.5
st michaels school,Latrobe (C),0.5
st brendans school,Greater Shepparton (C),0.5
st marys school,Buloke (S),0.5
st marys primary school,Wellington (S),0.5
st patricks primary school,Mitchell (S),0.5
st brigids school,Moorabool (S),0.5
st patricks school,Moorabool (S),0.5
st marys school,Macedon Ranges (S),0.5
st augustines school,Hepburn (S),0.5
tarrington lutheran school,Southern Grampians (S),0.5
st monicas school,Greater Bendigo (C),0.5
st josephs school,Benalla (RC),0.5
st brendans primary school,Moorabool (S),0.5
st patricks school,Northern Grampians (S),0.5
st james school,Bayside (C),0.5
st peters school,Glen Eira (C),0.5
st liborius school,Greater Bendigo (C),0.5
st marys school,Mount Alexander (S),0.5
st ambroses school,Macedon Ranges (S),0.5
st josephs school,Buloke (S),0.5
sacred heart school,Greater Shepparton (C),0.5
christ church grammar school,Melbourne (C),0.5
st pauls school,Moreland (C),0.5
st andrews school,Wyndham (C),0.5
st brigids school,Macedon Ranges (S),0.5
our lady of mount carmel school,Hume (C),0.5
st josephs school,Indigo (S),0.5
st marys school,Indigo (S),0.5
st marys school,Loddon (S),0.5
st patricks school,Cardinia (S),0.5
sacred heart primary school,Moira (S),0.5
st josephs school,Southern Grampians (S),0.5
sacred heart school,Glenelg (S),0.5
st bernards school,Moorabool (S),0.5
st patricks school,Moyne (S),0.5
sacred heart school,Yarra (C),0.5
st monicas school,Maribyrnong (C),0.5
st augustines school,Maribyrnong (C),0.5
st michael & st johns school,Horsham (RC),0.5
st marys school,Colac-Otway (S),0.5
st johns school,Yarra (C),0.5
st josephs school,Moira (S),0.5
st josephs school,Warrnambool (C),0.5
st marys school,Greater Geelong (C),0.5
st patricks school,Greater Geelong (C),0.5
st monicas primary school,Moonee Valley (C),0.5
st patricks school,Yarra Ranges (S),0.5
st josephs school,Yarra (C),0.5
st marys school,Yarriambiack (S),0.5
st marys school,Campaspe (S),0.5
sacred heart school,Boroondara (C),0.5
st marys school,Ararat (RC),0.5
st patricks school,Moyne (S),0.5
st josephs school,Campaspe (S),0.5
all saints parish school,Glenelg (S),0.5
our holy redeemer school,Boroondara (C),0.5
our lady of the sacred heart primary,Greater Bendigo (C),0.5
st josephs school,Indigo (S),0.5
st josephs school,Southern Grampians (S),0.5
st patricks school,Corangamite (S),0.5
st michaels school,Hepburn (S),0.5
st marys school,Southern Grampians (S),0.5
st kilians school,Greater Bendigo (C),0.5
st augustines school,Wodonga (C),0.5
st patricks school,Northern Grampians (S),0.5
st patricks school,Kingston (C),0.5
st thomas school,Corangamite (S),0.5
st josephs school,Baw Baw (S),0.5
st josephs school,Greater Bendigo (C),0.5
st johns school,Banyule (C),0.5
st josephs school,Moreland (C),0.5
st brigids school,Kingston (C),0.5
st columbas school,Ballarat (C),0.5
our lady help of christians school,Moreland (C),0.5
st anthonys school,Glen Eira (C),0.5
st marys school,Greater Dandenong (C),0.5
sacred heart school,Bayside (C),0.5
st josephs school,Bass Coast (S),0.5
st marys school,Moonee Valley (C),0.5
st josephs school,Gannawarra (S),0.5
st margaret marys school,Moreland (C),0.5
st francis xavier school,Ballarat (C),0.5
st laurence otoole school,South Gippsland (S),0.5
st josephs school,South Gippsland (S),0.5
westbourne grammar school,Hobsons Bay (C),0.5
st brigids school,Yarra Ranges (S),0.5
st james school,Cardinia (S),0.5
st marys school,Stonnington (C),0.5
holy rosary school,Melbourne (C),0.5
st aloysius school,Queenscliffe (B),0.5
st anthonys school,Darebin (C),0.5
st josephs school,Stonnington (C),0.5
st marys school,Wellington (S),0.5
holy rosary school,Greater Bendigo (C),0.5
st columbas school,Port Phillip (C),0.5
our lady of the rosary,Macedon Ranges (S),0.5
st marys school,Swan Hill (RC),0.5
st marys school,Mornington Peninsula (S),0.5
st brendans school,Colac-Otway (S),0.5
our lady of the immaculate conception school,Brimbank (C),0.5
st marys school,Darebin (C),0.5
st johns school,Warrnambool (C),0.5
st aloysius school,Glen Eira (C),0.5
st joan of arc school,Bayside (C),0.5
st johns school,Strathbogie (S),0.5
st johns school,Maribyrnong (C),0.5
st josephs school,Moira (S),0.5
mary immaculate school,Banyule (C),0.5
st josephs school,Strathbogie (S),0.5
our lady of lourdes school,Stonnington (C),0.5
st josephs school,East Gippsland (S),0.5
st marys school,Alpine (S),0.5
st thereses school,Moonee Valley (C),0.5
sacred heart school,Murrindindi (S),0.5
our lady of good counsel school,Boroondara (C),0.5
st kevins school,Glen Eira (C),0.5
st josephs school,Kingston (C),0.5
st finbars school,Bayside (C),0.5
st dominics school,Boroondara (C),0.5
st marys school,Bayside (C),0.5
holy rosary school,Greater Bendigo (C),0.5
st marys school,Gannawarra (S),0.5
st josephs school,Mornington Peninsula (S),0.5
st fidelis school,Moreland (C),0.5
st francis xaviers school,Whitehorse (C),0.5
st marys school,Hobsons Bay (C),0.5
our lady help of christians school,Nillumbik (S),0.5
our lady of the sacred heart school,Mildura (RC),0.5
st francis xavier school,Frankston (C),0.5
st gabriels school,Darebin (C),0.5
st pauls school,Glen Eira (C),0.5
st josephs school,Bayside (C),0.5
st patricks school,Wellington (S),0.5
st josephs school,Baw Baw (S),0.5
st patricks school,Glen Eira (C),0.5
st rochs school,Stonnington (C),0.5
st annes school,Boroondara (C),0.5
our lady of perpetual help school,Maroondah (C),0.5
st francis xaviers school,Banyule (C),0.5
st josephs school,Mornington Peninsula (S),0.5
st cecilias school,Boroondara (C),0.5
st josephs school,Glen Eira (C),0.5
st josephs school,Mildura (RC),0.5
st peters school,Whittlesea (C),0.5
sacred heart school,Monash (C),0.5
st marks school,Moreland (C),0.5
st john the baptist school,Knox (C),0.5
st johns school,Whitehorse (C),0.5
st marys school,Greater Shepparton (C),0.5
st raphaels school,Darebin (C),0.5
st john the baptists school,Cardinia (S),0.5
st vincent de pauls school,Moonee Valley (C),0.5
st josephs school,Greater Dandenong (C),0.5
holy name school,Darebin (C),0.5
st bernards school,Moreland (C),0.5
st benedicts school,Whitehorse (C),0.5
st oliver plunketts school,Moreland (C),0.5
corpus christi school,Maribyrnong (C),0.5
st roberts school,Greater Geelong (C),0.5
st michaels school,Boroondara (C),0.5
st marys school,Moorabool (S),0.5
st bedes school,Boroondara (C),0.5
st patricks school,Hindmarsh (S),0.5
st margarets school,Greater Geelong (C),0.5
st kierans school,Latrobe (C),0.5
st theresas school,Brimbank (C),0.5
st bernadettes school,Banyule (C),0.5
st colmans school,Moyne (S),0.5
st agnes school,Bayside (C),0.5
our lady of the assumption school,Kingston (C),0.5
nunawading christian college-primary,Whitehorse (C),0.5
sacred heart school,Maroondah (C),0.5
st malachys school,West Wimmera (S),0.5
st marys school,Murrindindi (S),0.5
resurrection house,Moonee Valley (C),0.5
holy spirit school,Darebin (C),0.5
sacred heart school,Brimbank (C),0.5
st thomas the apostle school,Whitehorse (C),0.5
st marys school,Campaspe (S),0.5
st michaels school,Wellington (S),0.5
st thomas aquinas school,Greater Geelong (C),0.5
st pius x school,Banyule (C),0.5
st margaret marys school,Hobsons Bay (C),0.5
st mary magdalens parish primary school,Monash (C),0.5
st anthonys school,Greater Dandenong (C),0.5
st peters school,Monash (C),0.5
st josephs school,Yarriambiack (S),0.5
st john boscos school,Moonee Valley (C),0.5
holy family school,Greater Geelong (C),0.5
holy spirit parish school,Greater Geelong (C),0.5
st marys school,Banyule (C),0.5
mother of god school,Brimbank (C),0.5
st peter chanel school,Brimbank (C),0.5
christ the king primary school,Maribyrnong (C),0.5
corpus christi school,Moreland (C),0.5
st pauls school,Brimbank (C),0.5
st patricks school,Loddon (S),0.5
stella maris school,Bayside (C),0.5
st thereses school,Greater Bendigo (C),0.5
st bernadettes school,Brimbank (C),0.5
st james school,Ballarat (C),0.5
sacred heart school,Mildura (RC),0.5
st margarets primary school,Maribyrnong (C),0.5
immaculate heart of mary school,Latrobe (C),0.5
holy family school,Monash (C),0.5
st gerards school,Greater Dandenong (C),0.5
st mels school,Greater Shepparton (C),0.5
our lady of perpetual succour school,Whitehorse (C),0.5
