School_Name,LGA_Name,weighted_score
kingswood primary school,Kingston (C),0.825
wonga park primary school,Manningham (C),0.825
moorabbin primary school,Kingston (C),0.825
belle vue primary school,Boroondara (C),0.825
mulgrave primary school,Monash (C),0.825
tulliallan primary school,Casey (C),0.825
malvern valley primary school,Stonnington (C),0.8
wandin north primary school,Yarra Ranges (S),0.8
apollo parkways primary school,Nillumbik (S),0.8
essendon north primary school,Moonee Valley (C),0.8
footscray north primary school,Maribyrnong (C),0.8
mount waverley north primary school,Monash (C),0.8
upwey primary school,Yarra Ranges (S),0.8
montmorency primary school,Banyule (C),0.8
elsternwick primary school,Bayside (C),0.8
templestowe valley primary school,Manningham (C),0.8
ripponlea primary school,Glen Eira (C),0.8
bell primary school,Darebin (C),0.8
seaholme primary school,Hobsons Bay (C),0.8
carrum primary school,Kingston (C),0.8
coburg west primary school,Moreland (C),0.8
watsonia north primary school,Banyule (C),0.8
tucker road bentleigh primary school,Glen Eira (C),0.8
beaumaris primary school,Bayside (C),0.8
moonee ponds primary school,Moonee Valley (C),0.8
mentone primary school,Kingston (C),0.8
woodlands primary school,Frankston (C),0.8
beaumaris north primary school,Bayside (C),0.8
port melbourne primary school,Port Phillip (C),0.775
aspendale gardens primary school,Kingston (C),0.775
rosanna golf links primary school,Banyule (C),0.775
kangaroo ground primary school,Nillumbik (S),0.775
aberfeldie primary school,Moonee Valley (C),0.775
scoresby primary school,Knox (C),0.775
altona primary school,Hobsons Bay (C),0.775
oatlands primary school,Casey (C),0.775
courtenay gardens primary school,Casey (C),0.775
park ridge primary school,Knox (C),0.775
ringwood north primary school,Maroondah (C),0.775
glenroy central primary school,Moreland (C),0.775
karoo primary school,Knox (C),0.775
brunswick north primary school,Moreland (C),0.775
kunyung primary school,Mornington Peninsula (S),0.775
kingsville primary school,Maribyrnong (C),0.775
diamond creek primary school,Nillumbik (S),0.775
yarra primary school,Yarra (C),0.775
flemington primary school,Moonee Valley (C),0.775
bayswater south primary school,Knox (C),0.75
westbreen primary school,Moreland (C),0.75
mullum primary school,Maroondah (C),0.75
wantirna south primary school,Knox (C),0.75
box hill north primary school,Whitehorse (C),0.75
pascoe vale primary school,Moreland (C),0.75
bonbeach primary school,Kingston (C),0.75
avondale primary school,Moonee Valley (C),0.75
emerald primary school,Cardinia (S),0.75
roberts mccubbin primary school,Whitehorse (C),0.75
alberton primary school,Wellington (S),0.5
allansford and district primary school,Warrnambool (C),0.5
avoca primary school,Pyrenees (S),0.5
avenel primary school,Strathbogie (S),0.5
warrandyte primary school,Manningham (C),0.5
belmont primary school,Greater Geelong (C),0.5
bacchus marsh primary school,Moorabool (S),0.5
ballarat primary school (dana street),Ballarat (C),0.5
wodonga primary school,Wodonga (C),0.5
berwick primary school,Casey (C),0.5
beaufort primary school,Pyrenees (S),0.5
cudgee primary school,Moyne (S),0.5
cavendish primary school,Southern Grampians (S),0.5
colac primary school,Colac-Otway (S),0.5
castlemaine primary school,Mount Alexander (S),0.5
campbells creek primary school,Mount Alexander (S),0.5
creswick primary school,Hepburn (S),0.5
california gully primary school,Greater Bendigo (C),0.5
st andrews primary school,Nillumbik (S),0.5
warrnambool west primary school,Warrnambool (C),0.5
dromana primary school,Mornington Peninsula (S),0.5
echuca primary school,Campaspe (S),0.5
eltham primary school,Nillumbik (S),0.5
eaglehawk primary school,Greater Bendigo (C),0.5
elphinstone primary school,Mount Alexander (S),0.5
hallam primary school,Casey (C),0.5
footscray primary school,Maribyrnong (C),0.5
gisborne primary school,Macedon Ranges (S),0.5
wandiligong primary school,Alpine (S),0.5
grovedale primary school,Greater Geelong (C),0.5
hamilton (gray street) primary school,Southern Grampians (S),0.5
heathcote primary school,Greater Bendigo (C),0.5
highton primary school,Greater Geelong (C),0.5
huntly primary school,Greater Bendigo (C),0.5
bellbrae primary school,Surf Coast (S),0.5
chiltern primary school,Indigo (S),0.5
kyneton primary school,Macedon Ranges (S),0.5
romsey primary school,Macedon Ranges (S),0.5
shelford primary school,Golden Plains (S),0.5
lockwood south primary school,Greater Bendigo (C),0.5
marong primary school,Greater Bendigo (C),0.5
mount macedon primary school,Macedon Ranges (S),0.5
mount clear primary school,Ballarat (C),0.5
melton primary school,Melton (C),0.5
fitzroy primary school,Yarra (C),0.5
newstead primary school,Mount Alexander (S),0.5
newlyn primary school,Hepburn (S),0.5
new gisborne primary school,Macedon Ranges (S),0.5
beeac primary school,Colac-Otway (S),0.5
coburg primary school,Moreland (C),0.5
penshurst primary school,Southern Grampians (S),0.5
myrniong primary school,Moorabool (S),0.5
mernda primary school,Whittlesea (C),0.5
portland primary school,Glenelg (S),0.5
stawell primary school,Northern Grampians (S),0.5
rutherglen primary school,Indigo (S),0.5
riddells creek primary school,Macedon Ranges (S),0.5
rokewood primary school,Golden Plains (S),0.5
geelong east primary school,Greater Geelong (C),0.5
sale primary school,Wellington (S),0.5
skipton primary school,Corangamite (S),0.5
stratford primary school,Wellington (S),0.5
taradale primary school,Mount Alexander (S),0.5
koroit and district primary school,Moyne (S),0.5
tylden primary school,Macedon Ranges (S),0.5
thomastown primary school,Whittlesea (C),0.5
wangaratta primary school,Wangaratta (RC),0.5
wahgunyah primary school,Indigo (S),0.5
woodend primary school,Macedon Ranges (S),0.5
woodford primary school,Warrnambool (C),0.5
werribee primary school,Wyndham (C),0.5
winters flat primary school,Mount Alexander (S),0.5
wooragee primary school,Indigo (S),0.5
wallan primary school,Mitchell (S),0.5
woolsthorpe primary school,Moyne (S),0.5
yandoit primary school,Hepburn (S),0.5
yarram primary school,Wellington (S),0.5
pleasant street primary school (ballarat),Ballarat (C),0.5
yea primary school,Murrindindi (S),0.5
lancefield primary school,Macedon Ranges (S),0.5
coimadai primary school,Moorabool (S),0.5
birregurra primary school,Colac-Otway (S),0.5
clayton north primary school,Monash (C),0.5
milawa primary school,Wangaratta (RC),0.5
lockwood primary school,Greater Bendigo (C),0.5
bealiba primary school,Central Goldfields (S),0.5
bairnsdale primary school,East Gippsland (S),0.5
gordon primary school,Moorabool (S),0.5
hepburn primary school,Hepburn (S),0.5
lara lake primary school,Greater Geelong (C),0.5
rosedale primary school,Wellington (S),0.5
rochester primary school,Campaspe (S),0.5
ararat primary school,Ararat (RC),0.5
jamieson primary school,Mansfield (S),0.5
preston south primary school,Darebin (C),0.5
omeo primary school,East Gippsland (S),0.5
harrietville primary school,Alpine (S),0.5
healesville primary school,Yarra Ranges (S),0.5
toongabbie primary school,Latrobe (C),0.5
waubra primary school,Pyrenees (S),0.5
great western primary school,Northern Grampians (S),0.5
maffra primary school,Wellington (S),0.5
broken creek primary school,Benalla (RC),0.5
lal lal primary school,Moorabool (S),0.5
cobden primary school,Corangamite (S),0.5
st leonards primary school,Greater Geelong (C),0.5
lilydale primary school,Yarra Ranges (S),0.5
bendigo primary school,Greater Bendigo (C),0.5
darraweit guim primary school,Macedon Ranges (S),0.5
linton primary school,Golden Plains (S),0.5
invermay primary school,Ballarat (C),0.5
mitta mitta primary school,Towong (S),0.5
greenvale primary school,Hume (C),0.5
alexandra primary school,Murrindindi (S),0.5
rockbank primary school,Melton (C),0.5
talbot primary school,Central Goldfields (S),0.5
yarra glen primary school,Yarra Ranges (S),0.5
elmhurst primary school,Ararat (RC),0.5
kangaroo flat primary school,Greater Bendigo (C),0.5
westmeadows primary school,Hume (C),0.5
sunbury primary school,Hume (C),0.5
hesket primary school,Macedon Ranges (S),0.5
axedale primary school,Greater Bendigo (C),0.5
tarnagulla primary school,Loddon (S),0.5
carisbrook primary school,Central Goldfields (S),0.5
wandin yallock primary school,Yarra Ranges (S),0.5
yering primary school,Yarra Ranges (S),0.5
dartmoor primary school,Glenelg (S),0.5
mickleham primary school,Hume (C),0.5
inglewood primary school,Loddon (S),0.5
chewton primary school,Mount Alexander (S),0.5
bolinda primary school,Macedon Ranges (S),0.5
napoleons primary school,Golden Plains (S),0.5
haddon primary school,Golden Plains (S),0.5
panmure primary school,Moyne (S),0.5
sorrento primary school,Mornington Peninsula (S),0.5
alfredton primary school,Ballarat (C),0.5
bridgewater primary school,Loddon (S),0.5
hastings primary school,Mornington Peninsula (S),0.5
yackandandah primary school,Indigo (S),0.5
nagambie primary school,Strathbogie (S),0.5
heyfield primary school,Wellington (S),0.5
mansfield primary school,Mansfield (S),0.5
middle indigo primary school,Indigo (S),0.5
briagolong primary school,Wellington (S),0.5
lindenow primary school,East Gippsland (S),0.5
broadford primary school,Mitchell (S),0.5
murchison primary school,Greater Shepparton (C),0.5
panton hill primary school,Nillumbik (S),0.5
glen park primary school,Moorabool (S),0.5
concongella primary school,Northern Grampians (S),0.5
bruthen primary school,East Gippsland (S),0.5
swan hill primary school,Swan Hill (RC),0.5
porepunkah primary school,Alpine (S),0.5
leopold primary school,Greater Geelong (C),0.5
inverleigh primary school,Golden Plains (S),0.5
trawalla primary school,Pyrenees (S),0.5
quarry hill primary school,Greater Bendigo (C),0.5
sebastopol primary school,Ballarat (C),0.5
woodside primary school,Wellington (S),0.5
noorat primary school,Corangamite (S),0.5
boneo primary school,Mornington Peninsula (S),0.5
queenscliff primary school,Queenscliffe (B),0.5
portland north primary school,Glenelg (S),0.5
timor primary school,Central Goldfields (S),0.5
apsley primary school,West Wimmera (S),0.5
strathfieldsaye primary school,Greater Bendigo (C),0.5
skye primary school,Frankston (C),0.5
tooborac primary school,Mitchell (S),0.5
lucknow primary school,East Gippsland (S),0.5
upper plenty primary school,Mitchell (S),0.5
maldon primary school,Mount Alexander (S),0.5
woori yallock primary school,Yarra Ranges (S),0.5
moyston primary school,Ararat (RC),0.5
buninyong primary school,Ballarat (C),0.5
marysville primary school,Murrindindi (S),0.5
langley primary school,Mount Alexander (S),0.5
wandong primary school,Mitchell (S),0.5
cowes primary school,Bass Coast (S),0.5
bullarto primary school,Hepburn (S),0.5
lismore primary school,Corangamite (S),0.5
lower plenty primary school,Banyule (C),0.5
specimen hill primary school,Greater Bendigo (C),0.5
bolwarra primary school,Glenelg (S),0.5
navarre primary school,Northern Grampians (S),0.5
warracknabeal primary school,Yarriambiack (S),0.5
moyhu primary school,Wangaratta (RC),0.5
natte yallock primary school,Pyrenees (S),0.5
christmas hills primary school,Nillumbik (S),0.5
tallangatta primary school,Towong (S),0.5
kialla central primary school,Greater Shepparton (C),0.5
mount eliza primary school,Mornington Peninsula (S),0.5
san remo primary school,Bass Coast (S),0.5
dimboola primary school,Hindmarsh (S),0.5
whorouly primary school,Wangaratta (RC),0.5
merrijig primary school,Mansfield (S),0.5
lethbridge primary school,Golden Plains (S),0.5
oxley primary school,Wangaratta (RC),0.5
dandenong primary school,Greater Dandenong (C),0.5
malmsbury primary school,Macedon Ranges (S),0.5
kerang primary school,Gannawarra (S),0.5
drouin west primary school,Baw Baw (S),0.5
meredith primary school,Golden Plains (S),0.5
edi upper primary school,Wangaratta (RC),0.5
eaglehawk north primary school,Greater Bendigo (C),0.5
mooroopna primary school,Greater Shepparton (C),0.5
cairnlea park primary school,Brimbank (C),0.5
ballan primary school,Moorabool (S),0.5
mount pleasant primary school,Ballarat (C),0.5
tatura primary school,Greater Shepparton (C),0.5
toolamba primary school,Greater Shepparton (C),0.5
harston primary school,Greater Shepparton (C),0.5
osbornes flat primary school,Indigo (S),0.5
frankston primary school,Frankston (C),0.5
donald primary school,Buloke (S),0.5
beveridge primary school,Mitchell (S),0.5
cape clear primary school,Golden Plains (S),0.5
warburton primary school,Yarra Ranges (S),0.5
tallarook primary school,Mitchell (S),0.5
barnawartha primary school,Indigo (S),0.5
ashby primary school,Greater Geelong (C),0.5
tooradin primary school,Casey (C),0.5
elmore primary school,Greater Bendigo (C),0.5
dookie primary school,Greater Shepparton (C),0.5
natimuk primary school,Horsham (RC),0.5
big hill primary school,Greater Bendigo (C),0.5
clunes primary school,Hepburn (S),0.5
marnoo primary school,Northern Grampians (S),0.5
beechworth primary school,Indigo (S),0.5
ardmona primary school,Greater Shepparton (C),0.5
kilmore primary school,Mitchell (S),0.5
macarthur primary school,Moyne (S),0.5
barwon heads primary school,Greater Geelong (C),0.5
keilor primary school,Brimbank (C),0.5
dunolly primary school,Central Goldfields (S),0.5
springhurst primary school,Wangaratta (RC),0.5
dixons creek primary school,Yarra Ranges (S),0.5
trentham district primary school,Hepburn (S),0.5
warrenheip primary school,Ballarat (C),0.5
maiden gully primary school,Greater Bendigo (C),0.5
rupanyup primary school,Yarriambiack (S),0.5
goornong primary school,Greater Bendigo (C),0.5
ceres primary school,Greater Geelong (C),0.5
